element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
447,2,5,0,False,2021-08-14T14:00:00Z,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,12873,0,0
447,12,18,0,True,2021-08-21T16:30:00Z,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-3264,9898,242,3506
447,22,8,1,True,2021-08-28T14:00:00Z,0,2,3,31,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.5,2.0,0.3,60,-1750,8497,260,2010
447,32,3,2,False,2021-09-11T14:00:00Z,0,1,4,63,0,0,1,0,0,0,0,0,0,0,0,4,6.4,3.2,17.0,2.7,60,1735,12382,3994,2259
447,42,9,9,True,2021-09-19T13:00:00Z,2,1,5,69,1,0,0,1,0,0,0,0,0,0,3,32,39.4,11.6,26.0,7.7,60,865,14243,3007,2142
447,54,7,2,False,2021-09-27T19:00:00Z,1,1,6,75,0,0,0,1,0,0,0,0,0,0,0,4,4.2,1.7,19.0,2.5,60,11993,28899,14694,2701
447,61,1,0,True,2021-10-02T16:30:00Z,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-5571,22823,2409,7980
447,78,15,0,False,2021-10-16T14:00:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-5380,17711,297,5677
447,83,12,0,True,2021-10-23T16:30:00Z,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-2519,15348,110,2629
447,94,11,0,False,2021-10-30T14:00:00Z,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-1813,13575,153,1966
