element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
367,10,12,5,True,2021-08-15T15:30:00Z,1,0,1,90,0,0,1,0,0,0,0,1,0,0,0,21,18.8,0.3,6.0,2.5,45,0,37061,0,0
367,17,20,8,False,2021-08-22T13:00:00Z,0,1,2,90,0,0,1,0,0,0,0,0,0,0,2,28,35.4,0.1,0.0,3.6,45,10572,71171,15840,5268
367,27,18,6,True,2021-08-29T13:00:00Z,1,0,3,90,0,0,1,0,0,0,0,0,0,0,0,23,11.4,1.6,11.0,2.4,45,73588,163181,87065,13477
367,34,7,0,False,2021-09-11T11:30:00Z,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-5005,163085,89011,94016
367,48,6,1,True,2021-09-19T15:30:00Z,0,3,5,7,0,0,0,1,0,0,0,0,0,0,0,3,5.8,0.0,0.0,0.6,45,-18404,146109,14446,32850
367,51,1,1,False,2021-09-26T15:30:00Z,3,1,6,90,0,0,0,3,0,0,0,0,0,0,0,10,7.8,2.5,0.0,1.0,45,-3318,147638,11075,14393
367,68,2,0,True,2021-10-03T13:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-3353,146688,7952,11305
367,77,14,0,False,2021-10-17T15:30:00Z,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-18581,128675,2012,20593
367,90,19,0,False,2021-10-24T13:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-10840,118729,883,11723
367,98,13,0,True,2021-10-30T16:30:00Z,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-11487,108427,1224,12711
