element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
484,4,16,2,True,2021-08-14T14:00:00Z,3,1,1,82,0,0,0,1,0,0,0,0,0,0,0,10,10.8,16.8,2.0,3.0,55,0,27308,0,0
484,14,10,9,False,2021-08-21T14:00:00Z,2,2,2,82,1,0,0,2,0,0,0,0,0,0,2,27,43.8,16.5,25.0,8.5,55,-827,30399,3264,4091
484,22,4,8,False,2021-08-28T14:00:00Z,0,2,3,80,1,0,1,0,0,0,0,0,0,0,0,25,39.8,22.7,41.0,10.4,55,70651,115371,87245,16594
484,35,5,7,True,2021-09-13T19:00:00Z,3,1,4,87,1,0,0,1,0,0,0,0,0,0,0,25,33.6,4.8,44.0,8.2,56,614701,799388,802662,187961
484,41,2,2,False,2021-09-18T16:30:00Z,3,0,5,90,0,0,0,3,0,0,0,0,0,0,0,8,4.8,30.9,37.0,7.3,57,500643,1318915,580449,79806
484,55,15,6,True,2021-09-25T14:00:00Z,2,0,6,82,0,1,1,0,0,0,0,0,0,0,0,16,24.6,15.1,26.0,6.6,58,293978,1629164,355529,61551
484,67,13,2,False,2021-10-02T11:30:00Z,1,1,7,90,0,0,0,1,0,0,0,0,0,0,0,11,12.0,22.8,19.0,5.4,58,-33716,1581680,103620,137336
484,74,19,2,True,2021-10-17T13:00:00Z,0,1,8,90,0,0,0,1,0,0,0,0,0,0,0,16,16.0,36.2,27.0,7.9,58,-6162,1591226,109395,115557
484,86,18,5,True,2021-10-23T14:00:00Z,2,5,9,76,0,1,0,1,0,0,0,0,0,0,0,18,24.2,33.3,6.0,6.4,58,14958,1614930,98931,83973
484,100,20,2,False,2021-11-01T20:00:00Z,2,1,10,89,0,0,0,2,0,0,0,0,0,0,0,2,0.6,12.8,32.0,4.5,58,-52221,1564728,64892,117113
