element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
257,10,17,2,False,2021-08-15T15:30:00Z,1,0,1,90,0,0,0,1,0,0,0,0,0,1,0,10,6.6,0.0,0.0,0.7,60,0,683423,0,0
257,16,15,6,True,2021-08-21T14:00:00Z,5,0,2,90,0,0,1,0,0,0,0,0,0,0,0,19,4.2,0.0,0.0,0.4,60,-9415,769175,35317,44732
257,24,1,6,True,2021-08-28T11:30:00Z,5,0,3,90,0,0,1,0,0,0,0,0,0,0,0,24,5.4,0.0,0.0,0.5,60,-5623,796739,36751,42374
257,37,9,6,False,2021-09-11T14:00:00Z,0,1,4,90,0,0,1,0,0,0,0,0,0,2,0,24,19.0,0.0,0.0,1.9,60,-53341,767438,51210,104551
257,45,16,8,True,2021-09-18T14:00:00Z,0,0,5,90,0,0,1,0,0,0,0,0,0,2,2,31,21.2,0.0,0.0,2.1,60,7100,801398,48346,41246
257,53,6,6,False,2021-09-25T11:30:00Z,0,1,6,90,0,0,1,0,0,0,0,0,0,0,0,20,5.0,0.0,0.0,0.5,60,-3445,805000,37690,41135
257,66,11,1,False,2021-10-03T15:30:00Z,2,2,7,90,0,0,0,2,0,0,0,0,0,1,0,13,13.6,0.0,0.0,1.4,60,9577,826850,39691,30114
257,76,5,0,True,2021-10-16T14:00:00Z,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-46488,787051,50669,97157
257,83,4,2,False,2021-10-23T16:30:00Z,1,4,9,90,0,0,0,1,0,0,0,1,0,4,0,10,21.0,0.0,0.0,2.1,60,5305,802817,32897,27592
257,95,7,0,True,2021-10-30T14:00:00Z,0,2,10,90,0,0,0,2,0,0,0,1,0,1,0,12,11.8,0.0,0.0,1.2,60,2325,812520,31828,29503
