element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
269,6,10,0,True,2021-08-14T11:30:00Z,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,85,0,556860,0,0
269,19,16,0,False,2021-08-22T13:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,85,-210801,348818,8859,219660
269,30,20,1,False,2021-08-29T15:30:00Z,0,1,3,37,0,0,0,0,0,0,0,0,0,0,0,3,0.2,2.4,0.0,0.3,85,-78144,290204,12507,90651
269,38,14,0,True,2021-09-11T14:00:00Z,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,84,-77972,218458,7777,85749
269,49,19,0,False,2021-09-19T13:00:00Z,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,84,-46868,174470,444,47312
269,58,2,1,True,2021-09-25T11:30:00Z,0,1,6,8,0,0,0,1,0,0,0,0,0,0,0,3,0.2,0.3,20.0,2.1,84,-19197,157100,870,20067
269,67,8,1,True,2021-10-02T11:30:00Z,1,1,7,56,0,0,0,0,0,0,0,0,0,0,0,0,4.2,12.8,17.0,3.4,84,-4028,155055,2178,6206
269,75,9,0,False,2021-10-16T14:00:00Z,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,84,-4943,151574,2055,6998
269,88,11,1,True,2021-10-24T15:30:00Z,0,5,9,28,0,0,0,0,0,0,0,0,0,0,0,-1,1.0,0.5,34.0,3.6,84,-2424,150187,1087,3511
269,98,17,8,False,2021-10-30T16:30:00Z,0,3,10,81,1,0,1,0,0,0,0,0,0,0,2,28,34.6,3.0,47.0,8.5,84,-2104,150173,2166,4270
