element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
21,1,3,2,False,2021-08-13T19:00:00Z,2,0,1,90,0,0,0,2,0,0,0,0,0,0,0,13,13.0,35.3,25.0,7.3,55,0,497578,0,0
21,18,6,2,True,2021-08-22T15:30:00Z,0,2,2,90,0,0,0,2,0,0,0,0,0,0,0,15,9.8,6.4,31.0,4.7,55,-52598,473317,25527,78125
21,24,12,2,False,2021-08-28T11:30:00Z,5,0,3,90,0,0,0,5,0,0,0,0,0,0,0,8,10.8,0.5,6.0,1.7,54,-78870,400421,21781,100651
21,31,15,1,True,2021-09-11T14:00:00Z,1,0,4,28,0,0,0,0,0,0,0,0,0,0,0,2,9.2,24.3,19.0,5.3,54,-87058,317395,64969,152027
21,43,5,3,False,2021-09-18T14:00:00Z,0,1,5,60,0,0,1,0,0,0,0,0,0,0,0,6,2.4,3.9,21.0,2.7,53,-41239,281002,23226,64465
21,51,17,12,True,2021-09-26T15:30:00Z,3,1,6,87,1,1,0,1,0,0,0,0,0,0,2,36,54.4,25.7,21.0,10.1,53,-28717,253851,10333,39050
21,61,4,3,False,2021-10-02T16:30:00Z,0,0,7,90,0,0,1,0,0,0,0,0,0,0,0,10,15.4,25.0,19.0,5.9,53,159116,426569,185310,26194
21,71,7,2,True,2021-10-18T19:00:00Z,2,2,8,90,0,0,0,2,0,0,0,0,0,0,0,9,6.4,18.5,15.0,4.0,54,86775,514516,136368,49593
21,81,2,13,True,2021-10-22T19:00:00Z,3,1,9,90,1,1,0,1,0,0,0,0,0,0,3,50,66.4,50.9,39.0,15.6,54,16761,532950,60725,43964
21,93,9,9,False,2021-10-30T11:30:00Z,0,2,10,89,1,0,1,0,0,0,0,0,0,0,1,30,39.6,27.2,17.0,8.4,55,337222,901415,364025,26803
