element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
91,1,1,11,True,2021-08-13T19:00:00Z,2,0,1,90,0,1,1,0,0,0,0,0,0,0,2,32,36.8,11.1,0.0,4.8,45,0,13971,0,0
91,13,7,6,False,2021-08-21T14:00:00Z,0,0,2,90,0,0,1,0,0,0,0,0,0,0,0,22,8.6,0.6,4.0,1.3,45,164773,314303,185269,20496
91,21,2,2,False,2021-08-28T14:00:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,15,18.6,0.8,6.0,2.5,46,115761,463814,157863,42102
91,32,4,2,True,2021-09-11T14:00:00Z,0,1,4,90,0,0,0,1,0,0,0,0,0,0,0,16,15.8,0.3,0.0,1.6,46,-20158,449561,52659,72817
91,50,20,8,False,2021-09-18T11:30:00Z,0,2,5,90,0,0,1,0,0,0,0,0,0,0,2,26,14.2,0.4,0.0,1.5,46,-32210,420429,17083,49293
91,52,11,7,True,2021-09-25T16:30:00Z,3,3,6,42,1,0,0,1,0,0,0,0,0,0,0,19,48.6,0.6,33.0,8.2,46,7294,435618,32046,24752
91,69,19,2,False,2021-10-03T13:00:00Z,1,2,7,90,0,0,0,1,0,0,0,0,0,0,0,12,24.4,10.5,19.0,5.4,46,54343,496976,84424,30081
91,73,6,2,True,2021-10-16T16:30:00Z,0,1,8,90,0,0,0,1,0,0,0,0,0,0,0,19,20.4,25.8,29.0,7.5,46,45106,549052,65733,20627
91,82,9,1,True,2021-10-24T13:00:00Z,1,2,9,45,0,0,0,1,0,0,0,0,0,0,0,10,6.6,20.8,6.0,3.3,46,51262,604544,68925,17663
91,92,5,1,False,2021-10-30T14:00:00Z,3,1,10,90,0,0,0,3,0,0,0,0,0,0,0,17,16.4,1.0,0.0,1.7,47,-49137,549989,24434,73571
