element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
453,10,17,2,False,2021-08-15T15:30:00Z,1,0,1,90,0,0,0,1,0,0,0,0,0,0,0,10,11.2,28.7,8.0,4.8,50,0,22889,0,0
453,16,15,0,True,2021-08-21T14:00:00Z,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,4653,40019,9830,5177
453,24,1,0,True,2021-08-28T11:30:00Z,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-6319,35177,3443,9762
453,37,9,1,False,2021-09-11T14:00:00Z,0,1,4,6,0,0,0,0,0,0,0,0,0,0,0,3,2.6,0.3,4.0,0.7,50,-5116,32694,4273,9389
453,45,16,3,True,2021-09-18T14:00:00Z,0,0,5,64,0,0,1,0,0,0,0,0,0,0,0,12,9.2,11.4,10.0,3.1,49,-1059,33369,3225,4284
453,53,6,1,False,2021-09-25T11:30:00Z,0,1,6,3,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,49,-756,33648,2568,3324
453,66,11,0,False,2021-10-03T15:30:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-1600,32517,1232,2832
453,76,5,1,True,2021-10-16T14:00:00Z,2,0,8,6,0,0,0,0,0,0,0,0,0,0,0,3,2.0,0.3,0.0,0.2,49,-1097,32000,1412,2509
453,83,4,1,False,2021-10-23T16:30:00Z,1,4,9,15,0,0,0,1,0,0,0,0,0,0,0,4,1.6,1.8,0.0,0.3,49,-947,31367,707,1654
453,95,7,0,True,2021-10-30T14:00:00Z,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-1301,30523,912,2213
