element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
26,1,3,2,False,2021-08-13T19:00:00Z,2,0,1,70,0,0,0,1,0,0,0,0,0,0,0,7,2.2,22.4,11.0,3.6,55,0,25036,0,0
26,18,6,2,True,2021-08-22T15:30:00Z,0,2,2,78,0,0,0,2,0,0,0,0,0,0,0,9,7.2,16.0,2.0,2.5,55,-3706,26785,2934,6640
26,24,12,0,False,2021-08-28T11:30:00Z,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-4035,23911,1760,5795
26,31,15,0,True,2021-09-11T14:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-3645,21111,2726,6371
26,43,5,0,False,2021-09-18T14:00:00Z,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-3055,18339,534,3589
26,51,17,0,True,2021-09-26T15:30:00Z,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-2417,16173,291,2708
26,61,4,0,False,2021-10-02T16:30:00Z,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-1398,14980,286,1684
26,71,7,4,True,2021-10-18T19:00:00Z,2,2,8,9,0,1,0,0,0,0,0,0,0,0,0,7,3.0,1.1,33.0,3.7,52,-1192,13941,196,1388
26,81,2,1,True,2021-10-22T19:00:00Z,3,1,9,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,52,26,14154,786,760
26,93,9,0,False,2021-10-30T11:30:00Z,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-503,13833,505,1008
