element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
372,10,12,1,True,2021-08-15T15:30:00Z,1,0,1,13,0,0,0,0,0,0,0,0,0,0,0,6,3.0,1.0,2.0,0.6,60,0,10720,0,0
372,17,20,1,False,2021-08-22T13:00:00Z,0,1,2,23,0,0,0,0,0,0,0,0,0,0,0,2,9.4,14.4,0.0,2.4,60,-1682,12147,877,2559
372,27,18,0,True,2021-08-29T13:00:00Z,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-1618,11678,718,2336
372,34,7,0,False,2021-09-11T11:30:00Z,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-2858,9418,627,3485
372,48,6,2,True,2021-09-19T15:30:00Z,0,3,5,61,0,0,0,2,0,0,0,0,0,0,0,5,0.0,22.0,9.0,2.9,59,-1316,8276,101,1417
372,51,1,0,False,2021-09-26T15:30:00Z,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-29,8696,653,682
372,68,2,1,True,2021-10-03T13:00:00Z,2,1,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0.2,12.6,23.0,3.6,59,108,9241,675,567
372,77,14,0,False,2021-10-17T15:30:00Z,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-351,9213,489,840
372,90,19,1,False,2021-10-24T13:00:00Z,1,0,9,6,0,0,0,0,0,0,0,0,0,0,0,6,3.4,1.5,0.0,0.5,59,-147,9283,353,500
372,98,13,2,True,2021-10-30T16:30:00Z,0,3,10,72,0,0,0,2,0,0,0,0,0,0,0,15,10.6,21.3,22.0,5.4,59,-184,9532,383,567
