element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
199,6,13,1,False,2021-08-14T11:30:00Z,5,1,1,90,0,0,0,5,0,0,0,0,0,3,0,17,21.6,0.0,0.0,2.2,50,0,281639,0,0
199,14,8,3,True,2021-08-21T14:00:00Z,2,2,2,90,0,0,0,2,0,0,0,0,0,6,0,20,44.2,0.0,0.0,4.4,50,-17332,279258,5620,22952
199,29,5,2,False,2021-08-29T13:00:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,2,0,15,25.4,0.0,0.0,2.5,50,-10054,277617,12981,23035
199,36,11,2,True,2021-09-12T15:30:00Z,0,3,4,90,0,0,0,3,0,0,0,0,0,5,0,24,42.4,0.0,0.0,4.2,50,-28588,252407,17008,45596
199,46,14,4,False,2021-09-17T19:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,6,0,25,44.0,0.0,0.0,4.4,50,-12506,244209,13488,25994
199,56,19,1,True,2021-09-25T14:00:00Z,1,2,6,90,0,0,0,2,0,0,0,1,0,5,0,18,37.8,0.0,0.0,3.8,50,-6345,240567,10509,16854
199,65,18,6,True,2021-10-02T14:00:00Z,1,0,7,90,0,0,1,0,0,0,0,0,0,1,0,27,13.4,0.0,0.0,1.3,50,-377,243227,14621,14998
199,79,16,3,False,2021-10-16T14:00:00Z,1,0,8,90,0,0,0,1,0,0,0,0,0,3,0,15,22.4,0.0,0.0,2.2,50,1007,246335,14332,13325
199,87,20,3,True,2021-10-23T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,3,0,15,20.4,0.0,0.0,2.0,50,-6551,240020,3873,10424
199,97,15,2,False,2021-10-31T14:00:00Z,1,2,10,90,0,0,0,1,0,0,0,0,0,2,0,14,14.4,0.0,0.0,1.4,50,14561,262452,25609,11048
