element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
33,10,17,1,False,2021-08-15T15:30:00Z,1,0,1,90,0,0,0,1,0,0,0,1,0,0,0,17,18.2,28.6,63.0,11.0,80,0,1605017,0,0
33,16,15,8,True,2021-08-21T14:00:00Z,5,0,2,74,1,0,1,0,0,0,0,0,0,0,0,29,38.6,18.6,53.0,11.0,80,-128727,1610907,107227,235954
33,24,1,6,True,2021-08-28T11:30:00Z,5,0,3,90,0,1,1,0,0,0,0,0,0,0,0,28,32.4,76.3,30.0,13.9,80,71647,1761282,208409,136762
33,37,9,3,False,2021-09-11T14:00:00Z,0,1,4,90,0,0,1,0,0,0,0,0,0,0,0,14,14.0,52.1,32.0,9.8,80,-94395,1716488,256416,350811
33,45,16,3,True,2021-09-18T14:00:00Z,0,0,5,90,0,0,1,0,0,0,0,0,0,0,0,17,19.0,38.6,10.0,6.8,80,-79470,1665073,159911,239381
33,53,6,3,False,2021-09-25T11:30:00Z,0,1,6,86,0,0,1,0,0,0,0,0,0,0,0,6,11.8,24.9,54.0,9.1,80,-147558,1528690,77897,225455
33,66,11,2,False,2021-10-03T15:30:00Z,2,2,7,65,0,0,0,1,0,0,0,0,0,0,0,5,5.6,1.8,18.0,2.5,80,-67758,1474596,90680,158438
33,76,5,0,True,2021-10-16T14:00:00Z,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,79,28407,1520995,170723,142316
33,83,4,6,False,2021-10-23T16:30:00Z,1,4,9,76,0,1,1,0,0,0,0,0,0,0,0,24,29.2,36.5,50.0,11.6,79,-161167,1355725,32079,193246
33,95,7,2,True,2021-10-30T14:00:00Z,0,2,10,77,0,0,0,1,0,0,0,0,0,0,0,12,10.2,56.6,42.0,10.9,78,-85192,1279706,39996,125188
