element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
304,9,19,7,True,2021-08-15T13:00:00Z,2,4,1,90,1,0,0,4,0,0,0,0,0,0,0,23,43.4,20.3,30.0,9.4,50,0,7373,0,0
304,11,2,1,False,2021-08-21T14:00:00Z,2,0,2,90,0,0,0,2,0,0,0,1,0,0,0,2,7.4,1.2,0.0,0.9,50,8967,24918,12299,3332
304,25,16,5,True,2021-08-28T14:00:00Z,2,2,3,90,0,1,0,2,0,0,0,0,0,0,0,21,34.2,11.3,22.0,6.8,50,2037,28763,8833,6796
304,38,13,1,False,2021-09-11T14:00:00Z,4,1,4,13,0,0,0,2,0,0,0,0,0,0,0,3,1.8,0.5,0.0,0.2,50,45187,83856,77379,32192
304,46,10,1,True,2021-09-17T19:00:00Z,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,50,3952,87307,20102,16150
304,60,18,1,False,2021-09-25T14:00:00Z,1,1,6,11,0,0,0,0,0,0,0,0,0,0,0,1,5.2,0.3,9.0,1.5,50,-12128,75571,5149,17277
304,70,20,1,False,2021-10-02T14:00:00Z,2,1,7,20,0,0,0,0,0,0,0,0,0,0,0,2,2.6,0.8,4.0,0.7,50,-10911,64996,1241,12152
304,77,17,4,True,2021-10-17T15:30:00Z,2,3,8,13,0,1,0,0,0,0,0,0,0,0,0,15,4.4,1.6,8.0,1.4,50,-7501,57979,887,8388
304,85,7,0,False,2021-10-23T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1975,56547,3068,5043
304,96,6,0,True,2021-10-30T14:00:00Z,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-7285,49299,615,7900
