element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
485,6,10,1,True,2021-08-14T11:30:00Z,5,1,1,15,0,0,0,0,0,0,0,0,0,0,0,3,1.0,5.8,0.0,0.7,95,0,683763,0,0
485,19,16,1,False,2021-08-22T13:00:00Z,1,1,2,31,0,0,0,0,0,0,0,0,0,0,0,5,3.6,13.0,6.0,2.3,94,-167670,560868,16332,184002
485,30,20,3,False,2021-08-29T15:30:00Z,0,1,3,71,0,0,1,0,0,0,0,0,0,0,0,4,0.0,7.3,4.0,0.8,93,-163024,411281,8736,171760
485,38,14,2,True,2021-09-11T14:00:00Z,4,1,4,65,0,0,0,1,0,0,0,0,0,0,0,4,3.4,27.0,32.0,6.2,92,-163271,253420,8393,171664
485,49,19,1,False,2021-09-19T13:00:00Z,1,2,5,17,0,0,0,0,0,0,0,0,0,0,0,3,0.8,2.5,0.0,0.3,91,-49073,214251,5341,54414
485,58,2,0,True,2021-09-25T11:30:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,91,-32112,185399,2270,34382
485,67,8,1,True,2021-10-02T11:30:00Z,1,1,7,33,0,0,0,1,0,0,0,0,0,0,0,5,13.2,27.1,21.0,6.1,90,-17047,170615,1598,18645
485,75,9,2,False,2021-10-16T14:00:00Z,4,2,8,64,0,0,0,1,0,0,0,0,0,0,0,19,9.4,35.6,6.0,5.1,90,-8740,163835,2374,11114
485,88,11,0,True,2021-10-24T15:30:00Z,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90,-6459,158281,930,7389
485,98,17,0,False,2021-10-30T16:30:00Z,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,89,-7846,151785,1150,8996
