element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
341,4,8,2,False,2021-08-14T14:00:00Z,3,1,1,90,0,0,0,3,0,0,0,0,0,0,0,20,21.6,30.5,0.0,5.2,65,0,299682,0,0
341,19,13,2,True,2021-08-22T13:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,13,15.6,20.8,14.0,5.0,65,-33424,288544,10126,43550
341,25,14,8,False,2021-08-28T14:00:00Z,2,2,3,90,1,0,0,2,0,0,0,1,0,0,2,28,52.8,39.2,34.0,12.6,65,-20809,277646,19441,40250
341,39,19,3,True,2021-09-11T14:00:00Z,0,0,4,90,0,0,1,0,0,0,0,0,0,0,0,8,5.4,18.3,0.0,2.4,65,-4480,286541,37956,42436
341,45,12,3,False,2021-09-18T14:00:00Z,0,0,5,90,0,0,1,0,0,0,0,0,0,0,0,13,13.6,12.2,0.0,2.6,64,-20295,268540,12541,32836
341,59,20,2,True,2021-09-26T13:00:00Z,0,1,6,90,0,0,0,1,0,0,0,0,0,0,0,19,14.6,34.4,13.0,6.2,64,-2023,271422,19943,21966
341,63,6,4,False,2021-10-02T14:00:00Z,3,1,7,76,1,0,0,3,0,0,0,0,1,0,0,17,29.0,2.5,18.0,5.0,64,-18020,253906,7804,25824
341,79,10,0,True,2021-10-16T14:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-62119,191458,1164,63283
341,89,5,0,True,2021-10-23T14:00:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-22075,170750,413,22488
341,99,18,2,False,2021-10-30T14:00:00Z,0,1,10,79,0,0,1,0,0,0,0,1,0,0,0,10,11.4,28.4,0.0,4.0,63,1406,174188,10384,8978
