element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
343,4,8,0,False,2021-08-14T14:00:00Z,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,82735,0,0
343,19,13,1,True,2021-08-22T13:00:00Z,1,1,2,45,0,0,0,1,0,0,0,0,0,0,0,6,6.4,0.4,0.0,0.7,45,-10192,76002,1138,11330
343,25,14,0,False,2021-08-28T14:00:00Z,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-8013,69190,1435,9448
343,39,19,0,True,2021-09-11T14:00:00Z,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-10792,59224,2229,13021
343,45,12,9,False,2021-09-18T14:00:00Z,0,0,5,90,0,0,1,0,0,0,0,0,0,0,3,32,35.2,0.1,0.0,3.5,44,-7408,52260,973,8381
343,59,20,2,True,2021-09-26T13:00:00Z,0,1,6,90,0,0,0,1,0,0,0,0,0,0,0,20,21.8,11.7,4.0,3.8,44,8008,63082,11208,3200
343,63,6,1,False,2021-10-02T14:00:00Z,3,1,7,90,0,0,0,3,0,0,0,0,0,0,0,16,17.2,0.3,0.0,1.8,44,-1051,61484,3289,4340
343,79,10,5,True,2021-10-16T14:00:00Z,1,0,8,90,0,0,1,0,0,0,0,1,0,0,0,16,8.0,0.6,0.0,0.9,44,252,62317,3786,3534
343,89,5,1,True,2021-10-23T14:00:00Z,2,2,9,90,0,0,0,2,0,0,0,0,0,0,0,17,22.6,0.9,0.0,2.4,44,3285,66481,5522,2237
343,99,18,8,False,2021-10-30T14:00:00Z,0,1,10,90,0,0,1,0,0,0,0,0,0,0,2,30,22.0,0.4,18.0,4.0,44,-2484,63611,1992,4476
