element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
474,3,6,1,False,2021-08-14T14:00:00Z,3,0,1,90,0,0,0,3,0,0,0,0,0,0,0,15,23.8,1.3,0.0,2.5,45,0,15214,0,0
474,13,3,5,True,2021-08-21T14:00:00Z,0,0,2,90,0,0,1,0,0,0,0,1,0,0,0,18,11.6,16.8,1.0,2.9,45,623,19449,2362,1739
474,28,19,1,False,2021-08-28T14:00:00Z,2,2,3,90,0,0,0,2,0,0,0,0,0,0,0,13,12.8,0.8,0.0,1.4,45,-1581,18914,1008,2589
474,34,17,6,True,2021-09-11T11:30:00Z,3,0,4,90,0,0,1,0,0,0,0,0,0,0,0,24,13.2,2.8,8.0,2.4,45,-886,19256,1509,2395
474,44,11,0,False,2021-09-18T14:00:00Z,3,0,5,90,0,0,0,3,0,0,0,1,0,0,0,4,26.4,5.9,8.0,4.0,45,2171,22863,3989,1818
474,54,4,2,True,2021-09-27T19:00:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,7,15.4,2.3,0.0,1.8,45,305,23803,2192,1887
474,64,9,1,True,2021-10-03T13:00:00Z,2,2,7,90,0,0,0,2,0,0,0,0,0,0,0,18,24.8,2.1,22.0,4.9,45,-391,23676,880,1271
474,71,1,1,False,2021-10-18T19:00:00Z,2,2,8,90,0,0,0,2,0,0,0,0,0,0,0,11,8.2,1.8,0.0,1.0,45,-611,23445,606,1217
474,85,14,1,True,2021-10-23T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,1,0,0,0,13,19.4,6.3,0.0,2.6,45,314,24053,1286,972
474,95,12,8,False,2021-10-30T14:00:00Z,0,2,10,90,0,0,1,0,0,0,0,0,0,0,2,26,28.6,0.5,0.0,2.9,45,-1382,22899,565,1947
