element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
108,2,4,1,True,2021-08-14T14:00:00Z,1,2,1,90,0,0,0,2,0,0,0,1,0,0,0,5,7.2,2.6,2.0,1.2,55,0,4960,0,0
108,15,11,2,False,2021-08-21T11:30:00Z,2,0,2,78,0,0,0,2,0,0,0,0,0,0,0,4,4.2,23.5,0.0,2.8,55,-667,5372,223,890
108,29,10,3,True,2021-08-29T13:00:00Z,1,1,3,62,0,0,1,0,0,0,0,0,0,0,0,2,0.0,2.7,6.0,0.6,55,-362,5482,348,710
108,35,8,5,False,2021-09-13T19:00:00Z,3,1,4,75,0,1,0,3,0,0,0,0,0,0,0,22,30.4,15.2,0.0,4.6,55,-343,5612,439,782
108,43,1,1,True,2021-09-18T14:00:00Z,0,1,5,56,0,0,0,1,0,0,0,0,0,0,0,1,0.6,1.4,25.0,2.7,55,878,6976,1687,809
108,57,9,0,False,2021-09-25T14:00:00Z,2,2,6,45,0,0,0,1,0,0,0,1,0,0,0,-1,6.2,5.6,0.0,1.2,55,-756,6459,429,1185
108,62,15,1,True,2021-10-02T14:00:00Z,0,0,7,30,0,0,0,0,0,0,0,0,0,0,0,10,9.0,18.8,2.0,3.0,55,154,6951,1045,891
108,76,12,1,False,2021-10-16T14:00:00Z,2,0,8,18,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,55,-1204,5731,86,1290
108,89,16,1,False,2021-10-23T14:00:00Z,2,2,9,12,0,0,0,0,0,0,0,0,0,0,0,3,3.0,0.0,7.0,1.0,54,-253,5541,69,322
108,92,3,2,True,2021-10-30T14:00:00Z,3,1,10,90,0,0,0,1,0,0,0,0,0,0,0,1,4.6,16.0,23.0,4.4,54,-224,5394,135,359
