element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
153,3,6,2,False,2021-08-14T14:00:00Z,3,0,1,90,0,0,0,3,0,0,0,0,0,0,0,0,14.8,11.9,19.0,4.6,60,0,48838,0,0
153,13,3,1,True,2021-08-21T14:00:00Z,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0.7,4.0,0.5,60,4634,66458,14543,9909
153,28,19,2,False,2021-08-28T14:00:00Z,2,2,3,90,0,0,0,2,0,0,0,0,0,0,0,10,15.2,0.9,20.0,3.6,60,-12296,55756,4174,16470
153,34,17,2,True,2021-09-11T11:30:00Z,3,0,4,85,0,0,1,0,0,0,0,0,0,0,0,16,8.8,29.1,26.0,6.4,59,-10069,48349,4809,14878
153,44,11,2,False,2021-09-18T14:00:00Z,3,0,5,90,0,0,0,3,0,0,0,0,0,0,0,8,12.0,16.3,37.0,6.5,59,-2281,47979,5882,8163
153,54,4,2,True,2021-09-27T19:00:00Z,1,1,6,85,0,0,1,0,0,0,0,0,0,0,0,4,0.8,15.7,16.0,3.3,59,-1948,47084,4369,6317
153,64,9,1,True,2021-10-03T13:00:00Z,2,2,7,52,0,0,0,2,0,0,0,0,0,0,0,0,0.2,12.6,15.0,2.8,59,-2276,45424,2328,4604
153,71,1,5,False,2021-10-18T19:00:00Z,2,2,8,70,0,1,0,1,0,0,0,0,0,0,0,19,25.2,12.8,7.0,4.5,59,-1791,44567,2336,4127
153,85,14,0,True,2021-10-23T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,2959,48508,5747,2788
153,95,12,1,False,2021-10-30T14:00:00Z,0,2,10,64,0,0,1,0,0,0,0,1,0,0,0,4,0.0,10.8,6.0,1.6,59,-2999,45965,3238,6237
