element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
468,8,2,0,True,2021-08-14T14:00:00Z,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,21981,0,0
468,12,4,1,False,2021-08-21T16:30:00Z,2,0,2,25,0,0,0,0,0,0,0,0,0,0,0,6,8.6,37.6,2.0,4.8,55,-4213,18983,1294,5507
468,27,17,2,False,2021-08-29T13:00:00Z,1,0,3,64,0,0,0,1,0,0,0,0,0,0,0,8,6.2,23.1,4.0,3.3,55,-1218,19147,2432,3650
468,40,20,1,True,2021-09-11T14:00:00Z,0,2,4,52,0,0,0,0,0,0,0,0,0,0,0,2,3.0,3.8,19.0,2.6,55,4427,26833,12902,8475
468,47,15,10,False,2021-09-18T14:00:00Z,1,3,5,90,0,2,0,1,0,0,0,0,0,0,2,29,23.2,22.3,39.0,8.5,55,2723,30569,8413,5690
468,60,14,5,True,2021-09-25T14:00:00Z,1,1,6,90,0,1,0,1,0,0,0,0,0,0,0,17,28.6,21.2,23.0,7.3,55,30820,65870,36804,5984
468,65,10,1,False,2021-10-02T14:00:00Z,1,0,7,45,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.3,2.0,0.2,55,18022,85850,29811,11789
468,80,11,0,True,2021-10-16T11:30:00Z,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-23859,60846,2856,26715
468,86,8,16,False,2021-10-23T14:00:00Z,2,5,9,90,3,0,0,2,0,0,0,1,0,0,3,72,106.4,12.9,122.0,24.1,55,-6047,55745,3096,9143
468,99,16,2,True,2021-10-30T14:00:00Z,0,1,10,90,0,0,0,1,0,0,0,0,0,0,0,8,8.8,41.7,12.0,6.3,56,231086,318289,243629,12543
