element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
495,8,2,2,True,2021-08-14T14:00:00Z,3,2,1,68,0,0,1,0,0,0,0,1,0,0,0,3,8.2,0.8,2.0,1.1,55,0,2737,0,0
495,12,4,0,False,2021-08-21T16:30:00Z,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-399,3126,229,628
495,27,17,2,False,2021-08-29T13:00:00Z,1,0,3,90,0,0,0,1,0,0,0,0,0,0,0,4,5.8,1.4,12.0,1.9,55,-749,2395,38,787
495,40,20,2,True,2021-09-11T14:00:00Z,0,2,4,90,0,0,0,2,0,0,0,0,0,0,0,5,16.4,0.8,3.0,2.0,55,-135,2662,306,441
495,47,15,2,False,2021-09-18T14:00:00Z,1,3,5,90,0,0,0,1,0,0,0,0,0,0,0,4,7.8,12.8,4.0,2.5,55,-35,2895,295,330
495,60,14,2,True,2021-09-25T14:00:00Z,1,1,6,63,0,0,0,1,0,0,0,0,0,0,0,12,4.2,11.8,16.0,3.2,55,-50,3091,302,352
495,65,10,2,False,2021-10-02T14:00:00Z,1,0,7,90,0,0,0,1,0,0,0,0,0,0,0,6,21.0,0.8,8.0,3.0,55,184,3458,545,361
495,80,11,2,True,2021-10-16T11:30:00Z,0,5,8,90,0,0,0,5,0,0,0,0,0,0,0,8,23.6,1.3,7.0,3.2,55,-114,3546,426,540
495,86,8,7,False,2021-10-23T14:00:00Z,2,5,9,90,1,0,0,2,0,0,0,0,0,0,0,23,49.6,12.6,30.0,9.2,55,-4,3647,470,474
495,99,16,1,True,2021-10-30T14:00:00Z,0,1,10,90,0,0,0,1,0,0,0,1,0,0,0,0,0.2,3.7,12.0,1.6,55,1092,5272,1782,690
