element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
141,3,7,1,True,2021-08-14T14:00:00Z,3,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.8,2.0,0.2,85,0,834989,0,0
141,18,1,3,False,2021-08-22T15:30:00Z,0,2,2,89,0,0,1,0,0,0,0,0,0,0,0,0,7.0,5.2,80.0,9.2,84,-236941,639736,16942,253883
141,23,11,7,False,2021-08-28T16:30:00Z,1,1,3,45,1,0,0,1,0,0,0,0,0,0,1,21,37.2,1.8,35.0,7.4,83,-195620,459983,11269,206889
141,33,2,3,True,2021-09-11T16:30:00Z,3,0,4,63,0,0,1,0,0,0,0,0,0,0,0,7,8.8,12.9,8.0,3.0,83,-13271,482326,83730,97001
141,48,17,3,False,2021-09-19T15:30:00Z,0,3,5,69,0,0,1,0,0,0,0,0,0,0,0,-1,0.0,9.8,27.0,3.5,83,-67723,417735,21219,88942
141,53,12,1,True,2021-09-25T11:30:00Z,0,1,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,2.0,0.1,82,-40531,383711,22080,62611
141,63,16,0,True,2021-10-02T14:00:00Z,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,82,-9529,380838,35665,45194
141,73,3,1,False,2021-10-16T16:30:00Z,0,1,8,13,0,0,0,0,0,0,0,0,0,0,0,7,12.0,0.1,0.0,1.2,82,-44272,338118,11031,55303
141,84,15,3,True,2021-10-23T11:30:00Z,7,0,9,69,0,0,1,0,0,0,0,0,0,0,0,5,6.0,4.7,39.0,5.0,81,313136,675047,342461,29325
141,96,14,6,False,2021-10-30T14:00:00Z,0,3,10,90,0,1,1,0,0,0,0,0,0,0,0,18,9.6,15.0,39.0,6.4,81,-29456,633143,62382,91838
