element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
16,1,3,1,False,2021-08-13T19:00:00Z,2,0,1,90,0,0,0,2,0,0,0,0,0,0,0,17,26.8,87.0,41.0,15.5,50,0,540892,0,0
16,18,6,1,True,2021-08-22T15:30:00Z,0,2,2,65,0,0,0,2,0,0,0,0,0,0,0,7,1.4,2.1,2.0,0.6,50,-55704,530760,16792,72496
16,24,12,0,False,2021-08-28T11:30:00Z,5,0,3,90,0,0,0,5,0,0,0,0,0,0,0,14,19.8,14.3,2.0,3.6,49,-121781,413442,8997,130778
16,31,15,7,True,2021-09-11T14:00:00Z,1,0,4,90,0,0,1,0,0,0,0,0,0,0,1,24,10.8,28.2,19.0,5.8,49,41858,477206,138247,96389
16,43,5,6,False,2021-09-18T14:00:00Z,0,1,5,77,0,0,1,0,0,0,0,0,0,0,0,20,7.8,3.1,4.0,1.5,49,22091,505564,64675,42584
16,51,17,2,True,2021-09-26T15:30:00Z,3,1,6,90,0,0,0,1,0,0,0,0,0,0,0,18,16.2,11.3,1.0,2.9,49,-1498,506045,30277,31775
16,61,4,6,False,2021-10-02T16:30:00Z,0,0,7,90,0,0,1,0,0,0,0,0,0,0,0,19,8.2,1.1,2.0,1.1,49,48280,563030,72099,23819
16,71,7,1,True,2021-10-18T19:00:00Z,2,2,8,90,0,0,0,2,0,0,0,0,0,0,0,16,10.2,19.5,6.0,3.6,49,35673,603062,59998,24325
16,81,2,0,True,2021-10-22T19:00:00Z,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-3548,599910,23794,27342
16,93,9,0,False,2021-10-30T11:30:00Z,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-130148,464557,1509,131657
