element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
249,10,17,0,False,2021-08-15T15:30:00Z,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,371353,0,0
249,16,15,6,True,2021-08-21T14:00:00Z,5,0,2,90,0,0,1,0,0,0,0,0,0,0,0,24,11.0,9.3,10.0,3.0,55,-28229,410733,20122,48351
249,24,1,1,True,2021-08-28T11:30:00Z,5,0,3,45,0,0,0,0,0,0,0,0,0,0,0,5,1.4,4.5,0.0,0.6,55,13112,454552,41443,28331
249,37,9,6,False,2021-09-11T14:00:00Z,0,1,4,90,0,0,1,0,0,0,0,0,0,0,0,25,19.8,3.2,35.0,5.8,55,-33966,442166,37845,71811
249,45,16,6,True,2021-09-18T14:00:00Z,0,0,5,90,0,0,1,0,0,0,0,0,0,0,0,30,20.2,16.8,0.0,3.7,55,22555,485464,55043,32488
249,53,6,7,False,2021-09-25T11:30:00Z,0,1,6,90,0,0,1,0,0,0,0,0,0,0,1,28,13.2,14.6,0.0,2.8,55,-1120,491941,31698,32818
249,66,11,1,False,2021-10-03T15:30:00Z,2,2,7,90,0,0,0,2,0,0,0,0,0,0,0,9,2.6,1.8,3.0,0.7,55,42190,545880,64502,22312
249,76,5,0,True,2021-10-16T14:00:00Z,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,105311,667248,130432,25121
249,83,4,1,False,2021-10-23T16:30:00Z,1,4,9,90,0,0,0,1,0,0,0,1,0,0,0,9,9.2,3.8,4.0,1.7,56,-14147,653955,29918,44065
249,95,7,1,True,2021-10-30T14:00:00Z,0,2,10,90,0,0,0,2,0,0,0,0,0,0,0,13,8.2,4.2,2.0,1.4,56,-19949,641506,24989,44938
