element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
362,10,12,2,True,2021-08-15T15:30:00Z,1,0,1,90,0,0,1,0,0,0,0,1,0,0,0,9,16.4,37.6,43.0,9.7,65,0,53342,0,0
362,17,20,3,False,2021-08-22T13:00:00Z,0,1,2,66,0,0,1,0,0,0,0,0,0,0,0,6,9.0,4.5,0.0,1.4,65,27239,105050,39391,12152
362,27,18,1,True,2021-08-29T13:00:00Z,1,0,3,22,0,0,0,0,0,0,0,0,0,0,0,1,6.0,2.0,21.0,2.9,65,-4824,105812,17247,22071
362,34,7,1,False,2021-09-11T11:30:00Z,3,0,4,90,0,0,0,3,0,0,0,1,0,0,0,1,13.6,3.9,11.0,2.9,65,-20725,90105,13432,34157
362,48,6,0,True,2021-09-19T15:30:00Z,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,-21240,70967,4143,25383
362,51,1,2,False,2021-09-26T15:30:00Z,3,1,6,90,0,0,0,3,0,0,0,0,0,0,0,4,5.8,18.3,13.0,3.7,64,-18643,52833,301,18944
362,68,2,2,True,2021-10-03T13:00:00Z,2,1,7,88,0,0,0,1,0,0,0,0,0,0,0,10,15.8,33.1,12.0,6.1,64,-2006,52289,2570,4576
362,77,14,2,False,2021-10-17T15:30:00Z,2,3,8,90,0,0,0,2,0,0,0,0,0,0,0,14,6.2,14.8,37.0,5.8,64,3173,56907,6872,3699
362,90,19,2,False,2021-10-24T13:00:00Z,1,0,9,90,0,0,0,1,0,0,0,0,0,0,0,6,4.6,4.7,4.0,1.3,64,1313,58742,5343,4030
362,98,13,1,True,2021-10-30T16:30:00Z,0,3,10,53,0,0,0,1,0,0,0,0,0,0,0,12,18.0,26.5,0.0,4.5,64,-1643,58082,3819,5462
