element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
317,7,11,2,True,2021-08-14T16:30:00Z,0,3,1,90,0,0,0,3,0,0,0,0,0,0,0,13,5.2,2.2,21.0,2.8,45,0,8058,0,0
317,16,12,1,False,2021-08-21T14:00:00Z,5,0,2,45,0,0,0,2,0,0,0,0,0,0,0,2,5.2,0.3,0.0,0.6,45,658,10891,2032,1374
317,26,9,1,True,2021-08-28T14:00:00Z,1,2,3,17,0,0,0,1,0,0,0,0,0,0,0,5,6.2,14.7,8.0,2.9,45,-481,10835,909,1390
317,31,1,2,False,2021-09-11T14:00:00Z,1,0,4,79,0,0,0,1,0,0,0,0,0,0,0,10,4.0,2.3,3.0,0.9,45,-571,10685,1435,2006
317,47,18,0,True,2021-09-18T14:00:00Z,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,350,11506,1840,1490
317,55,8,0,False,2021-09-25T14:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-475,11103,895,1370
317,62,5,1,False,2021-10-02T14:00:00Z,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,3,1.6,0.8,0.0,0.2,45,-810,10417,444,1254
317,78,4,1,True,2021-10-16T14:00:00Z,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,45,-780,9735,191,971
317,84,6,0,False,2021-10-23T11:30:00Z,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,6770,19719,8594,1824
317,97,10,0,True,2021-10-31T14:00:00Z,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,7238,28716,11890,4652
