element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
185,6,13,6,False,2021-08-14T11:30:00Z,5,1,1,90,1,0,0,5,0,0,0,0,0,0,0,23,52.4,4.8,13.0,7.0,45,0,787277,0,0
185,14,8,1,True,2021-08-21T14:00:00Z,2,2,2,90,0,0,0,2,0,0,0,0,0,0,0,16,27.6,13.5,8.0,4.9,45,80087,962027,112472,32385
185,29,5,2,False,2021-08-29T13:00:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,12,13.4,2.9,0.0,1.6,45,40545,1017292,118028,77483
185,36,11,1,True,2021-09-12T15:30:00Z,0,3,4,90,0,0,0,3,0,0,0,0,0,0,0,11,28.6,0.8,4.0,3.3,45,-44075,983243,166243,210318
185,46,14,2,False,2021-09-17T19:00:00Z,1,1,5,88,0,0,0,1,0,0,0,0,0,0,0,12,21.4,11.3,0.0,3.3,45,-3395,991620,105776,109171
185,56,19,0,True,2021-09-25T14:00:00Z,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-156880,828964,7053,163933
185,65,18,0,True,2021-10-02T14:00:00Z,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-222263,608162,2422,224685
185,79,16,0,False,2021-10-16T14:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-159420,452929,402,159822
185,87,20,0,True,2021-10-23T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-59735,394657,205,59940
185,97,15,0,False,2021-10-31T14:00:00Z,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-51022,344362,255,51277
