element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
122,3,7,15,True,2021-08-14T14:00:00Z,3,0,1,85,1,0,1,0,0,0,0,0,0,0,3,46,56.0,35.5,29.0,12.1,55,0,101537,0,0
122,18,1,6,False,2021-08-22T15:30:00Z,0,2,2,90,0,0,1,0,0,0,0,0,0,0,0,28,21.0,57.7,6.0,8.5,56,208836,506094,232325,23489
122,23,11,2,False,2021-08-28T16:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,9,22.6,11.9,4.0,3.9,56,139496,697605,192118,52622
122,33,2,5,True,2021-09-11T16:30:00Z,3,0,4,90,0,0,1,0,0,0,0,1,0,0,0,20,4.2,6.4,12.0,2.3,57,347047,1158320,484721,137674
122,48,17,10,False,2021-09-19T15:30:00Z,0,3,5,90,0,1,1,0,0,0,0,0,0,0,1,33,37.4,62.2,73.0,17.3,57,100339,1267321,189530,89191
122,53,12,1,True,2021-09-25T11:30:00Z,0,1,6,90,0,0,0,1,0,0,0,1,0,0,0,7,4.0,3.7,12.0,2.0,58,264713,1566955,307756,43043
122,63,16,0,True,2021-10-02T14:00:00Z,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,636755,2240730,704017,67262
122,73,3,0,False,2021-10-16T16:30:00Z,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-120642,2106863,98161,218803
122,84,15,0,True,2021-10-23T11:30:00Z,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-364878,1739267,29570,394448
122,96,14,0,False,2021-10-30T14:00:00Z,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-574012,1169547,8590,582602
