element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
41,8,18,2,False,2021-08-14T14:00:00Z,3,2,1,90,0,0,0,3,0,0,0,0,0,0,0,13,6.4,6.5,0.0,1.3,45,0,7728,0,0
41,11,14,0,True,2021-08-21T14:00:00Z,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,4024,18812,6425,2401
41,21,3,1,True,2021-08-28T14:00:00Z,1,1,3,27,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0.3,0.0,0.1,45,-2147,16735,1139,3286
41,33,6,1,False,2021-09-11T16:30:00Z,3,0,4,10,0,0,0,1,0,0,0,0,0,0,0,4,2.0,0.5,0.0,0.3,45,229,18595,3982,3753
41,41,8,1,True,2021-09-18T16:30:00Z,3,0,5,50,0,0,0,0,0,0,0,0,0,0,0,5,5.2,1.8,0.0,0.7,45,612,19917,3156,2544
41,58,13,0,False,2021-09-25T11:30:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-334,20016,1760,2094
41,68,17,0,False,2021-10-03T13:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1158,19056,647,1805
41,72,20,1,True,2021-10-16T14:00:00Z,2,3,8,23,0,0,0,3,0,0,0,0,0,0,0,3,2.4,0.3,0.0,0.3,45,-686,18638,690,1376
41,81,1,0,False,2021-10-22T19:00:00Z,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-616,18137,396,1012
41,91,19,2,True,2021-10-31T16:30:00Z,1,4,10,90,0,0,0,4,0,0,0,0,0,0,0,9,9.8,2.6,0.0,1.2,45,-1071,17182,320,1391
