element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
111,2,4,1,True,2021-08-14T14:00:00Z,1,2,1,5,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,12.0,1.0,55,0,69784,0,0
111,15,11,0,False,2021-08-21T11:30:00Z,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-8967,62676,1950,10917
111,29,10,1,True,2021-08-29T13:00:00Z,1,1,3,11,0,0,0,1,0,0,0,0,0,0,0,2,1.2,0.3,0.0,0.2,54,-17587,45253,326,17913
111,35,8,1,False,2021-09-13T19:00:00Z,3,1,4,14,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,54,-9408,37197,3104,12512
111,43,1,1,True,2021-09-18T14:00:00Z,0,1,5,33,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.8,8.0,0.9,53,-3828,34104,2600,6428
111,57,9,5,False,2021-09-25T14:00:00Z,2,2,6,74,0,1,0,1,0,0,0,0,0,0,0,16,26.2,22.0,27.0,7.5,53,-2882,31557,1659,4541
111,62,15,1,True,2021-10-02T14:00:00Z,0,0,7,34,0,0,0,0,0,0,0,0,0,0,0,2,4.2,0.8,21.0,2.6,53,-2715,28991,1218,3933
111,76,12,0,False,2021-10-16T14:00:00Z,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-2114,27257,1529,3643
111,89,16,1,False,2021-10-23T14:00:00Z,2,2,9,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,52,-2026,25266,285,2311
111,92,3,1,True,2021-10-30T14:00:00Z,3,1,10,22,0,0,0,1,0,0,0,0,0,0,0,3,1.2,0.3,2.0,0.4,52,1612,27614,3684,2072
