element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
186,6,13,2,False,2021-08-14T11:30:00Z,5,1,1,90,0,0,0,5,0,0,0,0,0,0,0,7,5.8,5.2,10.0,2.1,55,0,31003,0,0
186,14,8,9,True,2021-08-21T14:00:00Z,2,2,2,59,1,0,0,2,0,0,0,0,0,0,3,28,42.4,34.4,25.0,10.2,55,-1866,33239,2513,4379
186,29,5,0,False,2021-08-29T13:00:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,27266,70244,36622,9356
186,36,11,0,True,2021-09-12T15:30:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-18158,49780,4987,23145
186,46,14,2,False,2021-09-17T19:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,11,25.2,30.9,58.0,11.4,55,-3133,48951,7004,10137
186,56,19,5,True,2021-09-25T14:00:00Z,1,2,6,90,0,1,0,2,0,0,0,0,0,0,0,19,26.4,34.3,44.0,10.5,55,-2686,47188,4990,7676
186,65,18,3,True,2021-10-02T14:00:00Z,1,0,7,90,0,0,1,0,0,0,0,0,0,0,0,13,9.6,40.5,23.0,7.3,55,7948,56944,14154,6206
186,79,16,2,False,2021-10-16T14:00:00Z,1,0,8,76,0,0,0,1,0,0,0,0,0,0,0,16,9.6,13.0,2.0,2.5,55,-1557,55450,6222,7779
186,87,20,2,True,2021-10-23T14:00:00Z,1,1,9,62,0,0,0,1,0,0,0,0,0,0,0,9,2.8,5.9,17.0,2.6,55,-3151,52451,2453,5604
186,97,15,0,False,2021-10-31T14:00:00Z,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-1418,51788,4634,6052
