element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
39,8,18,0,False,2021-08-14T14:00:00Z,3,2,1,45,0,0,0,2,0,0,0,0,0,0,0,4,3.0,14.8,0.0,1.8,50,0,675492,0,0
39,11,14,0,True,2021-08-21T14:00:00Z,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-74260,612505,8026,82286
39,21,3,2,True,2021-08-28T14:00:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,9,15.2,2.2,0.0,1.7,49,-201862,412604,3759,205621
39,33,6,0,False,2021-09-11T16:30:00Z,3,0,4,90,0,0,0,3,0,0,0,1,0,0,0,3,3.8,12.1,0.0,1.6,48,-110764,305441,3990,114754
39,41,8,6,True,2021-09-18T16:30:00Z,3,0,5,60,0,0,1,0,0,0,0,0,0,0,0,22,12.8,25.5,0.0,3.8,48,-55818,252229,2834,58652
39,58,13,6,False,2021-09-25T11:30:00Z,0,1,6,90,0,0,1,0,0,0,0,0,0,0,0,15,3.0,3.8,7.0,1.4,48,-18639,235577,3487,22126
39,68,17,2,False,2021-10-03T13:00:00Z,2,1,7,90,0,1,0,2,1,0,0,0,0,0,0,19,28.6,28.9,24.0,8.2,48,-2783,234450,8797,11580
39,72,20,1,True,2021-10-16T14:00:00Z,2,3,8,90,0,0,0,3,0,0,0,0,0,0,0,13,11.0,11.8,4.0,2.7,48,-3458,232361,9733,13191
39,81,1,0,False,2021-10-22T19:00:00Z,3,1,9,90,0,0,0,3,0,0,0,1,0,0,0,12,10.6,36.2,2.0,4.9,48,-10291,221984,3794,14085
39,91,19,0,True,2021-10-31T16:30:00Z,1,4,10,90,0,0,0,4,0,0,0,0,0,0,0,13,23.0,31.0,0.0,5.4,47,-16173,206330,2961,19134
