element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
110,2,4,1,True,2021-08-14T14:00:00Z,1,2,1,90,0,0,0,2,0,0,0,0,0,0,0,10,12.8,15.9,0.0,2.9,45,0,181765,0,0
110,15,11,1,False,2021-08-21T11:30:00Z,2,0,2,90,0,0,0,2,0,0,0,0,0,0,0,14,10.6,12.8,0.0,2.3,45,-16286,168739,2408,18694
110,29,10,6,True,2021-08-29T13:00:00Z,1,1,3,90,0,1,0,1,0,0,0,0,0,0,1,24,36.4,11.1,18.0,6.6,45,-17711,152267,3107,20818
110,35,8,1,False,2021-09-13T19:00:00Z,3,1,4,90,0,0,0,3,0,0,0,0,0,0,0,10,9.8,15.5,0.0,2.5,45,-17944,137160,12310,30254
110,43,1,2,True,2021-09-18T14:00:00Z,0,1,5,90,0,0,0,1,0,0,0,0,0,0,0,10,22.8,25.8,0.0,4.9,44,-11646,126817,9098,20744
110,57,9,1,False,2021-09-25T14:00:00Z,2,2,6,90,0,0,0,2,0,0,0,0,0,0,0,15,32.4,25.4,0.0,5.8,44,-6826,120651,4726,11552
110,62,15,5,True,2021-10-02T14:00:00Z,0,0,7,90,0,0,1,0,0,0,0,1,0,0,0,22,14.8,7.2,12.0,3.4,44,20751,145601,29909,9158
110,76,12,1,False,2021-10-16T14:00:00Z,2,0,8,90,0,0,0,2,0,0,0,0,0,0,0,17,19.0,15.0,0.0,3.4,44,-15346,127753,2986,18332
110,89,16,4,False,2021-10-23T14:00:00Z,2,2,9,90,0,1,0,2,0,0,0,0,0,0,0,24,35.4,14.8,0.0,5.0,44,-4669,123697,3238,7907
110,92,3,14,True,2021-10-30T14:00:00Z,3,1,10,90,1,1,0,1,0,0,0,0,0,0,3,39,57.6,15.7,34.0,10.7,44,4093,129230,11269,7176
