element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
326,7,11,1,True,2021-08-14T16:30:00Z,0,3,1,90,0,0,0,3,0,0,0,0,0,0,0,15,29.4,12.4,1.0,4.3,45,0,156882,0,0
326,16,12,0,False,2021-08-21T14:00:00Z,5,0,2,90,0,0,0,5,0,0,0,0,0,0,0,8,8.8,3.6,2.0,1.4,45,-6048,164542,9393,15441
326,26,9,3,True,2021-08-28T14:00:00Z,1,2,3,90,0,0,0,2,0,0,0,0,0,0,2,27,30.2,42.8,18.0,9.1,45,-18349,148083,5103,23452
326,31,1,1,False,2021-09-11T14:00:00Z,1,0,4,90,0,0,0,1,0,0,0,1,0,0,0,9,25.2,20.0,15.0,6.0,45,-15186,137488,11327,26513
326,47,18,1,True,2021-09-18T14:00:00Z,1,3,5,90,0,0,0,3,0,0,0,0,0,0,0,16,12.4,16.4,2.0,3.1,45,-7481,132155,9109,16590
326,55,8,1,False,2021-09-25T14:00:00Z,2,0,6,90,0,0,0,2,0,0,0,0,0,0,0,11,9.0,1.9,1.0,1.2,44,-7747,125315,5187,12934
326,62,5,5,False,2021-10-02T14:00:00Z,0,0,7,90,0,0,1,0,0,0,0,1,0,0,0,20,11.6,11.7,19.0,4.2,44,-5169,121042,4161,9330
326,78,4,6,True,2021-10-16T14:00:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,20,6.0,14.6,0.0,2.1,44,-4632,116915,2430,7062
326,84,6,-3,False,2021-10-23T11:30:00Z,7,0,9,90,0,0,0,7,1,0,0,0,0,0,0,-1,0.0,2.2,0.0,0.1,44,-1139,116199,2944,4083
326,97,10,1,True,2021-10-31T14:00:00Z,1,2,10,90,0,0,0,2,0,0,0,0,0,0,0,8,8.6,4.8,20.0,3.3,44,-7953,108342,1823,9776
