element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
464,3,6,0,False,2021-08-14T14:00:00Z,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,3327,0,0
464,13,3,0,True,2021-08-21T14:00:00Z,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-875,2490,61,936
464,28,19,0,False,2021-08-28T14:00:00Z,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-439,2095,41,480
464,34,17,1,True,2021-09-11T11:30:00Z,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.4,0.0,0.0,54,-73,2063,387,460
464,44,11,1,False,2021-09-18T14:00:00Z,3,0,5,8,0,0,0,1,0,0,0,0,0,0,0,5,3.6,0.7,4.0,0.8,54,59,2235,317,258
464,54,4,0,True,2021-09-27T19:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-69,2244,173,242
464,64,9,7,True,2021-10-03T13:00:00Z,2,2,7,37,1,0,0,0,0,0,0,0,0,0,1,21,37.0,27.1,43.0,10.7,54,-144,2148,48,192
464,71,1,4,False,2021-10-18T19:00:00Z,2,2,8,19,0,1,0,1,0,0,0,0,0,0,0,13,19.4,10.1,0.0,3.0,54,1449,3794,1761,312
464,85,14,2,True,2021-10-23T14:00:00Z,1,1,9,66,0,0,0,1,0,0,0,0,0,0,0,17,9.2,32.3,4.0,4.6,54,1943,5965,2574,631
464,95,12,4,False,2021-10-30T14:00:00Z,0,2,10,5,0,1,0,0,0,0,0,0,0,0,0,14,16.4,10.6,2.0,2.9,54,21,6008,1226,1205
