element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
449,7,11,2,True,2021-08-14T16:30:00Z,0,3,1,76,0,0,0,3,0,0,0,0,0,0,0,5,3.4,29.2,6.0,3.9,55,0,14489,0,0
449,16,12,2,False,2021-08-21T14:00:00Z,5,0,2,90,0,0,0,5,0,0,0,0,0,0,0,3,11.8,2.3,4.0,1.8,55,-1309,14914,1072,2381
449,26,9,2,True,2021-08-28T14:00:00Z,1,2,3,90,0,0,0,2,0,0,0,0,0,0,0,8,10.2,21.7,8.0,4.0,55,-1847,13678,683,2530
449,31,1,1,False,2021-09-11T14:00:00Z,1,0,4,21,0,0,0,0,0,0,0,0,0,0,0,3,2.0,4.5,2.0,0.9,54,-715,13611,3067,3782
449,47,18,2,True,2021-09-18T14:00:00Z,1,3,5,87,0,0,0,3,0,0,0,0,0,0,0,4,8.6,5.2,38.0,5.2,54,-1230,12594,994,2224
449,55,8,1,False,2021-09-25T14:00:00Z,2,0,6,21,0,0,0,1,0,0,0,0,0,0,0,4,2.0,10.3,0.0,1.2,54,-1572,11156,610,2182
449,62,5,1,False,2021-10-02T14:00:00Z,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.4,2.0,0.2,53,-629,10739,768,1397
449,78,4,1,True,2021-10-16T14:00:00Z,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,5,4.4,24.3,2.0,3.1,53,-1020,9781,229,1249
449,84,6,1,False,2021-10-23T11:30:00Z,7,0,9,45,0,0,0,4,0,0,0,0,0,0,0,-3,3.4,0.5,17.0,2.1,53,-443,9374,275,718
449,97,10,5,True,2021-10-31T14:00:00Z,1,2,10,90,0,1,0,2,0,0,0,0,0,0,0,11,19.6,29.3,38.0,8.7,52,-591,8888,219,810
