element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
517,4,8,0,False,2021-08-14T14:00:00Z,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,1933,0,0
517,19,13,0,True,2021-08-22T13:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-353,2246,65,418
517,25,14,8,False,2021-08-28T14:00:00Z,2,2,3,90,1,0,0,2,0,0,0,0,0,0,1,27,49.6,23.6,89.0,16.2,55,171,2757,602,431
517,39,19,3,True,2021-09-11T14:00:00Z,0,0,4,90,0,0,1,0,0,0,0,0,0,0,0,1,7.6,12.1,56.0,7.6,55,4273,8332,6815,2542
517,45,12,3,False,2021-09-18T14:00:00Z,0,0,5,90,0,0,1,0,0,0,0,0,0,0,0,5,15.0,11.3,38.0,6.4,55,349,8910,1914,1565
517,59,20,2,True,2021-09-26T13:00:00Z,0,1,6,90,0,0,0,1,0,0,0,0,0,0,0,6,6.8,2.8,33.0,4.3,55,4375,14081,5981,1606
517,63,6,1,False,2021-10-02T14:00:00Z,3,1,7,3,0,0,0,1,0,0,0,0,0,0,0,3,1.0,0.0,0.0,0.1,55,-116,13969,2917,3033
517,79,10,3,True,2021-10-16T14:00:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,0,-2,0.0,12.8,24.0,3.6,55,1699,16096,4416,2717
517,89,5,1,True,2021-10-23T14:00:00Z,2,2,9,90,0,0,0,2,0,0,0,1,0,0,0,4,7.4,13.3,10.0,3.1,55,516,16820,2232,1716
517,99,18,3,False,2021-10-30T14:00:00Z,0,1,10,69,0,0,1,0,0,0,0,0,0,0,0,8,7.4,14.3,20.0,4.2,55,-1509,15383,980,2489
