element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
271,6,10,1,True,2021-08-14T11:30:00Z,5,1,1,21,0,0,0,0,0,0,0,0,0,0,0,4,6.6,1.7,0.0,0.8,45,0,14969,0,0
271,19,16,2,False,2021-08-22T13:00:00Z,1,1,2,85,0,0,0,1,0,0,0,0,0,0,0,12,14.4,2.6,19.0,3.6,45,-641,18966,2447,3088
271,30,20,0,False,2021-08-29T15:30:00Z,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,636,21651,3653,3017
271,38,14,2,True,2021-09-11T14:00:00Z,4,1,4,90,0,0,0,1,0,0,0,0,0,0,0,15,14.6,31.0,9.0,5.5,45,-1524,21968,4325,5849
271,49,19,4,False,2021-09-19T13:00:00Z,1,2,5,2,0,1,0,0,0,0,0,0,0,0,0,14,19.2,10.8,0.0,3.0,45,3462,27782,8132,4670
271,58,2,0,True,2021-09-25T11:30:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,1273,30452,5397,4124
271,67,8,0,True,2021-10-02T11:30:00Z,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1848,29299,2150,3998
271,75,9,2,False,2021-10-16T14:00:00Z,4,2,8,79,0,0,0,2,0,0,0,0,0,0,0,13,12.6,15.4,1.0,2.9,45,-856,29294,2773,3629
271,88,11,0,True,2021-10-24T15:30:00Z,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-507,29331,1922,2429
271,98,17,4,False,2021-10-30T16:30:00Z,0,3,10,14,0,1,0,0,0,0,0,0,0,0,0,15,20.8,13.3,0.0,3.4,45,-1844,28033,1360,3204
