element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
365,10,12,3,True,2021-08-15T15:30:00Z,1,0,1,89,0,0,1,0,0,0,0,0,0,0,0,13,12.6,21.8,12.0,4.6,50,0,203490,0,0
365,17,20,2,False,2021-08-22T13:00:00Z,0,1,2,90,0,0,1,0,0,0,0,1,0,0,0,16,14.2,3.1,20.0,3.7,50,-6971,214795,16099,23070
365,27,18,3,True,2021-08-29T13:00:00Z,1,0,3,90,0,0,1,0,0,0,0,0,0,0,0,18,27.8,21.4,9.0,5.8,50,-17736,201443,12119,29855
365,34,7,2,False,2021-09-11T11:30:00Z,3,0,4,90,0,0,0,3,0,0,0,0,0,0,0,17,22.8,13.2,2.0,3.8,50,-12372,196405,26204,38576
365,48,6,2,True,2021-09-19T15:30:00Z,0,3,5,90,0,0,0,3,0,0,0,0,0,0,0,14,16.0,2.5,0.0,1.9,50,-16812,181584,11215,28027
365,51,1,2,False,2021-09-26T15:30:00Z,3,1,6,90,0,0,0,3,0,0,0,0,0,0,0,18,23.0,8.3,0.0,3.1,49,-11669,172155,7900,19569
365,68,2,10,True,2021-10-03T13:00:00Z,2,1,7,90,1,0,0,1,0,0,0,0,0,0,3,39,48.6,3.8,7.0,5.9,49,-11301,162049,4953,16254
365,77,14,5,False,2021-10-17T15:30:00Z,2,3,8,90,0,1,0,2,0,0,0,0,0,0,0,25,46.2,22.6,7.0,7.6,49,25829,193711,36549,10720
365,90,19,2,False,2021-10-24T13:00:00Z,1,0,9,90,0,0,0,1,0,0,0,0,0,0,0,17,19.8,5.0,7.0,3.2,49,30099,227217,42854,12755
365,98,13,2,True,2021-10-30T16:30:00Z,0,3,10,90,0,0,0,3,0,0,0,0,0,0,0,9,15.2,5.3,2.0,2.3,49,12741,243163,37656,24915
