element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
132,3,7,0,True,2021-08-14T14:00:00Z,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,7043,0,0
132,18,1,0,False,2021-08-22T15:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-1646,6439,111,1757
132,23,11,0,False,2021-08-28T16:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1421,5094,26,1447
132,33,2,0,True,2021-09-11T16:30:00Z,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-379,5008,191,570
132,48,17,0,False,2021-09-19T15:30:00Z,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-194,4987,196,390
132,53,12,1,True,2021-09-25T11:30:00Z,0,1,6,14,0,0,0,0,0,0,0,0,0,0,0,4,3.6,0.8,0.0,0.4,54,-209,4897,161,370
132,63,16,6,True,2021-10-02T14:00:00Z,3,1,7,82,0,1,0,1,0,0,0,0,0,0,1,25,27.6,21.9,9.0,5.9,54,319,5392,593,274
132,73,3,3,False,2021-10-16T16:30:00Z,0,1,8,90,0,0,1,0,0,0,0,0,0,0,0,15,23.8,8.8,0.0,3.3,54,1652,7486,2220,568
132,84,15,4,True,2021-10-23T11:30:00Z,7,0,9,26,0,1,0,0,0,0,0,0,0,0,0,17,29.8,11.4,16.0,5.7,54,4862,12746,6039,1177
132,96,14,4,False,2021-10-30T14:00:00Z,0,3,10,26,0,1,0,0,0,0,0,0,0,0,0,11,5.8,3.4,18.0,2.7,54,161,12923,3526,3365
