element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
298,9,19,1,True,2021-08-15T13:00:00Z,2,4,1,20,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.3,5.0,0.5,55,0,9176,0,0
298,11,2,1,False,2021-08-21T14:00:00Z,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,4.0,0.2,55,-1354,9289,391,1745
298,25,16,4,True,2021-08-28T14:00:00Z,2,2,3,6,0,1,0,1,0,0,0,0,0,0,0,12,0.0,0.3,18.0,1.8,54,-1411,8260,359,1770
298,38,13,0,False,2021-09-11T14:00:00Z,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1429,7132,655,2084
298,46,10,1,True,2021-09-17T19:00:00Z,1,1,5,28,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.7,4.0,0.3,54,-1286,5911,208,1494
298,60,18,0,False,2021-09-25T14:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-324,5746,240,564
298,70,20,0,False,2021-10-02T14:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-325,5491,94,419
298,77,17,1,True,2021-10-17T15:30:00Z,2,3,8,13,0,0,0,0,0,0,0,0,0,0,0,2,0.6,1.6,8.0,1.0,54,-205,5404,133,338
298,85,7,2,False,2021-10-23T14:00:00Z,1,1,9,65,0,0,0,1,0,0,0,0,0,0,0,8,4.2,14.2,2.0,2.0,54,-122,5345,151,273
298,96,6,2,True,2021-10-30T14:00:00Z,0,3,10,65,0,0,0,1,0,0,0,0,0,0,0,6,0.6,0.7,2.0,0.3,54,-180,5256,155,335
