element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
370,10,12,7,True,2021-08-15T15:30:00Z,1,0,1,90,0,0,1,0,0,0,0,0,0,0,1,22,10.4,25.3,2.0,3.8,50,0,188039,0,0
370,17,20,6,False,2021-08-22T13:00:00Z,0,1,2,90,0,0,1,0,0,0,0,0,0,0,0,24,19.2,4.3,0.0,2.4,50,78316,340874,99578,21262
370,27,18,9,True,2021-08-29T13:00:00Z,1,0,3,90,0,0,1,0,0,0,0,0,0,0,3,31,13.8,17.4,10.0,4.1,51,204205,585442,242277,38072
370,34,7,1,False,2021-09-11T11:30:00Z,3,0,4,90,0,0,0,3,0,0,0,0,0,0,0,8,26.2,14.7,2.0,4.3,52,392106,1079250,546146,154040
370,48,6,1,True,2021-09-19T15:30:00Z,0,3,5,90,0,0,0,3,0,0,0,0,0,0,0,16,14.8,11.8,2.0,2.9,52,-108285,948824,78695,186980
370,51,1,4,False,2021-09-26T15:30:00Z,3,1,6,90,0,1,0,3,0,0,0,0,0,0,0,26,35.4,32.0,2.0,6.9,52,-49444,916705,51839,101283
370,68,2,2,True,2021-10-03T13:00:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,0,15,31.4,6.7,2.0,4.0,51,-24140,902849,50905,75045
370,77,14,4,False,2021-10-17T15:30:00Z,2,3,8,90,0,1,0,2,0,0,0,0,0,0,0,21,24.0,13.9,4.0,4.2,51,-33154,873676,32236,65390
370,90,19,2,False,2021-10-24T13:00:00Z,1,0,9,83,0,0,0,1,0,0,0,0,0,0,0,12,20.4,34.8,1.0,5.6,51,-19395,856800,26559,45954
370,98,13,0,True,2021-10-30T16:30:00Z,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-50944,808564,20208,71152
