element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
60,2,5,2,False,2021-08-14T14:00:00Z,1,2,1,90,0,0,0,1,0,0,0,0,0,0,0,12,18.6,45.3,11.0,7.5,55,0,6789,0,0
60,12,18,2,True,2021-08-21T16:30:00Z,2,0,2,90,0,0,1,0,0,0,0,1,0,0,0,5,9.4,11.8,8.0,2.9,55,-438,7648,704,1142
60,22,8,0,True,2021-08-28T14:00:00Z,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-720,7325,637,1357
60,32,3,1,False,2021-09-11T14:00:00Z,0,1,4,8,0,0,0,0,0,0,0,0,0,0,0,2,4.6,0.4,2.0,0.7,54,-1881,5518,314,2195
60,42,9,2,True,2021-09-19T13:00:00Z,2,1,5,61,0,0,0,1,0,0,0,0,0,0,0,6,10.2,15.0,17.0,4.2,54,-579,5124,230,809
60,54,7,0,False,2021-09-27T19:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-179,5072,347,526
60,61,1,1,True,2021-10-02T16:30:00Z,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,4,5.4,14.3,19.0,3.9,54,-351,4778,147,498
60,78,15,1,False,2021-10-16T14:00:00Z,0,0,8,24,0,0,0,0,0,0,0,0,0,0,0,8,5.6,11.5,4.0,2.1,53,-90,4797,262,352
60,83,12,2,True,2021-10-23T16:30:00Z,1,4,9,90,0,0,0,4,0,0,0,0,0,0,0,9,11.0,11.3,12.0,3.4,53,-205,4614,156,361
60,94,11,5,False,2021-10-30T14:00:00Z,2,2,10,90,0,1,0,2,0,0,0,0,0,0,0,16,31.2,25.8,21.0,7.8,53,-150,4549,240,390
