element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
339,4,8,0,False,2021-08-14T14:00:00Z,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,29374,0,0
339,19,13,0,True,2021-08-22T13:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-5755,25259,1145,6900
339,25,14,0,False,2021-08-28T14:00:00Z,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-5892,19994,1610,7502
339,39,19,0,True,2021-09-11T14:00:00Z,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-6404,13658,153,6557
339,45,12,0,False,2021-09-18T14:00:00Z,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-2072,11836,53,2125
339,59,20,0,True,2021-09-26T13:00:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-1171,10736,55,1226
339,63,6,0,False,2021-10-02T14:00:00Z,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-414,10362,241,655
339,79,10,1,True,2021-10-16T14:00:00Z,1,0,8,31,0,0,0,0,0,0,0,0,0,0,0,4,4.8,11.9,4.0,2.1,58,315,10984,930,615
339,89,5,1,True,2021-10-23T14:00:00Z,2,2,9,16,0,0,0,0,0,0,0,0,0,0,0,6,6.4,22.5,2.0,3.1,58,123,11261,623,500
339,99,18,1,False,2021-10-30T14:00:00Z,0,1,10,20,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.5,0.0,0.1,58,-151,11284,509,660
