element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
188,6,13,5,False,2021-08-14T11:30:00Z,5,1,1,90,0,1,0,5,0,0,0,0,0,0,0,25,29.6,13.1,0.0,4.3,55,0,1045606,0,0
188,14,8,2,True,2021-08-21T14:00:00Z,2,2,2,90,0,0,0,2,0,0,0,0,0,0,0,23,22.6,27.8,2.0,5.2,55,-17385,1075755,54731,72116
188,29,5,2,False,2021-08-29T13:00:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,11,7.4,2.1,10.0,2.0,55,-96116,984820,36656,132772
188,36,11,2,True,2021-09-12T15:30:00Z,0,3,4,90,0,0,0,3,0,0,0,0,0,0,0,12,6.0,4.3,4.0,1.4,55,-170248,817782,40612,210860
188,46,14,2,False,2021-09-17T19:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,11,10.2,15.4,0.0,2.6,54,-87524,738888,36928,124452
188,56,19,2,True,2021-09-25T14:00:00Z,1,2,6,90,0,0,0,2,0,0,0,0,0,0,0,8,8.0,19.6,26.0,5.4,54,-89376,651985,12967,102343
188,65,18,3,True,2021-10-02T14:00:00Z,1,0,7,77,0,0,1,0,0,0,0,0,0,0,0,14,9.4,24.3,49.0,8.3,53,-62009,592359,11443,73452
188,79,16,2,False,2021-10-16T14:00:00Z,1,0,8,90,0,0,0,1,0,0,0,0,0,0,0,15,19.6,1.9,0.0,2.2,53,-66928,526484,7730,74658
188,87,20,3,True,2021-10-23T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,1,22,24.2,31.4,8.0,6.4,52,-35157,492237,6209,41366
188,97,15,2,False,2021-10-31T14:00:00Z,1,2,10,90,0,0,0,1,0,0,0,0,0,0,0,11,18.4,14.7,16.0,4.9,52,-29366,464396,13033,42399
