element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
15,1,3,0,False,2021-08-13T19:00:00Z,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,5080,0,0
15,18,6,0,True,2021-08-22T15:30:00Z,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1306,4141,161,1467
15,24,12,0,False,2021-08-28T11:30:00Z,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-476,3864,320,796
15,31,15,0,True,2021-09-11T14:00:00Z,1,0,4,28,0,0,0,0,0,0,0,1,0,0,0,0,1.6,0.7,4.0,0.6,50,1817,6612,3050,1233
15,43,5,3,False,2021-09-18T14:00:00Z,0,1,5,74,0,0,1,0,0,0,0,0,0,0,0,14,12.6,15.3,20.0,4.8,50,2570,10140,4124,1554
15,51,17,2,True,2021-09-26T15:30:00Z,3,1,6,90,0,0,0,1,0,0,0,0,0,0,0,8,20.4,22.6,8.0,5.1,50,1651,12543,3442,1791
15,61,4,2,False,2021-10-02T16:30:00Z,0,0,7,90,0,0,1,0,0,0,0,1,0,0,0,9,3.8,15.7,3.0,2.3,50,1765,15060,3729,1964
15,71,7,2,True,2021-10-18T19:00:00Z,2,2,8,80,0,0,0,2,0,0,0,0,0,0,0,13,5.8,13.7,10.0,3.0,50,1661,17556,3791,2130
15,81,2,8,True,2021-10-22T19:00:00Z,3,1,9,90,1,0,0,1,0,0,0,0,0,0,1,28,39.4,6.8,77.0,12.3,50,930,18926,3044,2114
15,93,9,3,False,2021-10-30T11:30:00Z,0,2,10,90,0,0,1,0,0,0,0,0,0,0,0,14,10.8,1.9,9.0,2.2,50,9559,30877,12954,3395
