element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
325,7,11,1,True,2021-08-14T16:30:00Z,0,3,1,85,0,0,0,3,0,0,0,1,0,0,0,14,12.4,31.4,1.0,4.5,55,0,47808,0,0
325,16,12,2,False,2021-08-21T14:00:00Z,5,0,2,90,0,0,0,5,0,0,0,0,0,0,0,8,6.6,4.8,0.0,1.1,55,-1991,52257,5813,7804
325,26,9,1,True,2021-08-28T14:00:00Z,1,2,3,90,0,0,0,2,0,0,0,1,0,0,0,6,6.2,1.8,5.0,1.3,55,-5387,48753,3798,9185
325,31,1,1,False,2021-09-11T14:00:00Z,1,0,4,28,0,0,0,1,0,0,0,0,0,0,0,4,2.6,1.3,2.0,0.6,55,-4514,46447,8004,12518
325,47,18,1,True,2021-09-18T14:00:00Z,1,3,5,20,0,0,0,1,0,0,0,0,0,0,0,3,2.8,2.4,0.0,0.5,54,-4522,42715,3891,8413
325,55,8,0,False,2021-09-25T14:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-8348,34479,1020,9368
325,62,5,0,False,2021-10-02T14:00:00Z,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-6866,27730,379,7245
325,78,4,0,True,2021-10-16T14:00:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-3008,24938,238,3246
325,84,6,0,False,2021-10-23T11:30:00Z,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1191,23875,450,1641
325,97,10,0,True,2021-10-31T14:00:00Z,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-2833,21025,60,2893
