element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
381,8,2,5,True,2021-08-14T14:00:00Z,3,2,1,78,0,1,0,1,0,0,0,0,0,0,0,17,22.8,12.0,2.0,3.7,50,0,6655,0,0
381,12,4,2,False,2021-08-21T16:30:00Z,2,0,2,90,0,0,0,2,0,0,0,0,0,0,0,11,15.2,5.4,35.0,5.6,50,4095,15650,6066,1971
381,27,17,1,False,2021-08-29T13:00:00Z,1,0,3,19,0,0,0,0,0,0,0,0,0,0,0,5,3.6,0.9,0.0,0.5,50,-157,16009,3067,3224
381,40,20,0,True,2021-09-11T14:00:00Z,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-752,16021,3629,4381
381,47,15,2,False,2021-09-18T14:00:00Z,1,3,5,81,0,0,0,1,0,0,0,0,0,0,0,13,21.6,46.8,0.0,6.8,50,-2055,14186,877,2932
381,60,14,1,True,2021-09-25T14:00:00Z,1,1,6,45,0,0,0,1,0,0,0,0,0,0,0,-2,0.0,0.8,0.0,0.0,50,-1062,13394,750,1812
381,65,10,0,False,2021-10-02T14:00:00Z,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1604,11856,525,2129
381,80,11,1,True,2021-10-16T11:30:00Z,0,5,8,45,0,0,0,3,0,0,0,0,0,0,0,6,3.2,1.3,0.0,0.5,50,-1004,11084,470,1474
381,86,8,0,False,2021-10-23T14:00:00Z,2,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-643,10506,229,872
381,99,16,1,True,2021-10-30T14:00:00Z,0,1,10,45,0,0,0,0,0,0,0,0,0,0,0,6,5.6,15.4,0.0,2.1,49,-784,9781,114,898
