element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
422,9,14,8,False,2021-08-15T13:00:00Z,2,4,1,90,1,0,0,2,0,0,0,0,0,0,1,34,53.6,3.8,93.0,15.0,60,0,753486,0,0
422,20,9,2,True,2021-08-23T19:00:00Z,4,1,2,90,0,0,0,1,0,0,0,0,0,0,0,7,4.0,6.5,29.0,4.0,60,16810,830636,69153,52343
422,28,7,2,True,2021-08-28T14:00:00Z,2,2,3,90,0,0,0,2,0,0,0,0,0,0,0,15,15.0,1.1,29.0,4.5,60,-65201,775679,44685,109886
422,39,16,3,False,2021-09-11T14:00:00Z,0,0,4,90,0,0,1,0,0,0,0,0,0,0,0,11,9.0,5.6,14.0,2.9,60,-118714,666116,33765,152479
422,49,13,2,True,2021-09-19T13:00:00Z,1,2,5,90,0,0,0,2,0,0,0,0,0,0,0,11,18.2,3.2,6.0,2.7,60,-77915,595476,17629,95544
422,56,10,2,False,2021-09-25T14:00:00Z,1,2,6,90,0,0,0,1,0,0,0,0,0,0,0,11,4.8,3.8,17.0,2.6,59,-56339,545253,15095,71434
422,69,3,8,True,2021-10-03T13:00:00Z,1,2,7,90,0,1,0,2,0,0,0,0,0,0,3,25,26.8,22.6,10.0,5.9,59,-41605,506120,7936,49541
422,74,8,3,False,2021-10-17T13:00:00Z,0,1,8,78,0,0,1,0,0,0,0,0,0,0,0,18,17.8,18.9,4.0,4.1,59,-19573,490166,12915,32488
422,90,17,2,True,2021-10-24T13:00:00Z,1,0,9,90,0,0,1,0,0,0,0,1,0,0,0,8,8.8,21.7,15.0,4.6,59,-15926,475297,11366,27292
422,91,2,2,False,2021-10-31T16:30:00Z,1,4,10,90,0,0,0,1,0,0,0,0,0,0,0,16,15.6,3.4,36.0,5.5,58,-25389,451388,8822,34211
