element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
237,7,15,6,False,2021-08-14T16:30:00Z,0,3,1,90,0,0,1,0,0,0,0,0,0,0,0,24,18.4,48.6,4.0,7.1,75,0,2245431,0,0
237,15,5,12,True,2021-08-21T11:30:00Z,2,0,2,90,0,1,1,0,0,0,0,0,0,0,3,50,54.0,100.9,27.0,18.2,75,-14721,2418233,68535,83256
237,23,6,4,True,2021-08-28T16:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,2,24,27.0,76.6,29.0,13.3,75,54202,2561556,153694,99492
237,36,10,12,False,2021-09-12T15:30:00Z,0,3,4,90,0,1,1,0,0,0,0,0,0,0,3,38,36.4,66.3,28.0,13.1,75,47235,2701011,308000,260765
237,44,7,0,True,2021-09-18T14:00:00Z,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,75,189303,2954867,287727,98424
237,52,3,1,False,2021-09-25T16:30:00Z,3,3,6,90,0,0,0,3,0,0,0,0,0,0,0,17,27.0,31.4,19.0,7.7,76,-146600,2808135,77031,223631
237,66,12,0,True,2021-10-03T15:30:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,75,-840977,1953112,32540,873517
237,80,18,6,False,2021-10-16T11:30:00Z,0,5,8,63,0,0,1,0,0,0,0,0,0,0,0,20,9.4,22.1,9.0,4.1,75,-57050,1935034,161730,218780
237,88,13,10,False,2021-10-24T15:30:00Z,0,5,9,90,0,1,1,0,0,0,0,0,0,0,1,46,39.4,43.2,11.0,9.4,75,50563,1996858,88651,38088
237,94,4,1,True,2021-10-30T14:00:00Z,2,2,10,90,0,0,0,2,0,0,0,0,0,0,0,15,16.2,15.8,5.0,3.7,76,347357,2398801,363661,16304
