element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
146,3,6,2,False,2021-08-14T14:00:00Z,3,0,1,90,0,0,0,3,0,0,0,0,0,3,0,20,24.0,0.0,0.0,2.4,45,0,361754,0,0
146,13,3,9,True,2021-08-21T14:00:00Z,0,0,2,90,0,0,1,0,0,0,0,0,0,3,2,29,21.6,0.0,0.0,2.2,45,-942,382200,17920,18862
146,28,19,1,False,2021-08-28T14:00:00Z,2,2,3,90,0,0,0,2,0,0,0,0,0,2,0,18,21.2,0.0,0.0,2.1,45,11176,408150,34279,23103
146,34,17,6,True,2021-09-11T11:30:00Z,3,0,4,90,0,0,1,0,0,0,0,0,0,1,0,21,5.8,0.0,0.0,0.6,45,21368,441867,78258,56890
146,44,11,3,False,2021-09-18T14:00:00Z,3,0,5,90,0,0,0,3,0,0,0,0,0,7,0,23,49.8,0.0,0.0,5.0,45,52914,507912,90531,37617
146,54,4,3,True,2021-09-27T19:00:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,3,0,16,26.8,0.0,0.0,2.7,45,44962,562743,64219,19257
146,64,9,2,True,2021-10-03T13:00:00Z,2,2,7,90,0,0,0,2,0,0,0,0,0,3,0,15,19.2,0.0,0.0,1.9,45,-1746,559645,20266,22012
146,71,1,2,False,2021-10-18T19:00:00Z,2,2,8,90,0,0,0,2,0,0,0,0,0,4,0,21,32.0,0.0,0.0,3.2,45,-8079,553465,13289,21368
146,85,14,2,True,2021-10-23T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,8,1.2,0.0,0.0,0.1,45,845,556561,14758,13913
146,95,12,7,False,2021-10-30T14:00:00Z,0,2,10,90,0,0,1,0,0,0,0,1,0,3,1,24,22.4,0.0,0.0,2.2,45,-14789,541011,12087,26876
