element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
216,5,20,3,True,2021-08-14T14:00:00Z,1,0,1,90,0,0,1,0,0,0,0,0,0,0,0,20,16.4,3.3,0.0,2.0,50,0,106828,0,0
216,20,19,2,False,2021-08-23T19:00:00Z,4,1,2,90,0,0,0,4,0,0,0,0,0,0,0,14,16.0,3.0,0.0,1.9,50,-2143,127834,13258,15401
216,26,15,2,False,2021-08-28T14:00:00Z,1,2,3,90,0,0,0,1,0,0,0,0,0,0,0,13,20.4,2.0,2.0,2.4,50,-7608,125850,9581,17189
216,37,12,2,True,2021-09-11T14:00:00Z,0,1,4,90,0,0,0,1,0,0,0,0,0,0,0,20,21.2,3.6,20.0,4.5,50,-9319,122960,12739,22058
216,42,4,1,False,2021-09-19T13:00:00Z,2,1,5,90,0,0,0,2,0,0,0,1,0,0,0,9,13.8,3.2,2.0,1.9,50,-2718,124343,10241,12959
216,57,5,2,True,2021-09-25T14:00:00Z,2,2,6,90,0,0,0,2,0,0,0,0,0,0,0,10,13.2,2.7,1.0,1.7,50,-5621,120843,6688,12309
216,64,7,0,False,2021-10-03T13:00:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-9914,111682,3223,13137
216,75,13,0,True,2021-10-16T14:00:00Z,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-19443,92262,234,19677
216,82,3,0,False,2021-10-24T13:00:00Z,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-9207,83513,84,9291
216,93,1,0,True,2021-10-30T11:30:00Z,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-7671,76013,153,7824
