element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
387,8,2,1,True,2021-08-14T14:00:00Z,3,2,1,90,0,0,0,2,0,0,0,0,0,0,0,11,7.8,0.0,0.0,0.8,45,0,7659,0,0
387,12,4,1,False,2021-08-21T16:30:00Z,2,0,2,90,0,0,0,2,0,0,0,0,0,0,0,19,28.2,1.0,4.0,3.3,45,-257,9032,713,970
387,27,17,2,False,2021-08-29T13:00:00Z,1,0,3,90,0,0,0,1,0,0,0,0,0,0,0,12,11.8,0.3,0.0,1.2,45,-1024,8399,260,1284
387,40,20,1,True,2021-09-11T14:00:00Z,0,2,4,90,0,0,0,2,0,0,0,0,0,0,0,14,15.4,0.4,0.0,1.6,45,142,9372,1843,1701
387,47,15,2,False,2021-09-18T14:00:00Z,1,3,5,90,0,0,0,1,0,0,0,0,0,0,0,19,20.8,0.3,4.0,2.5,45,1023,11027,2529,1506
387,60,14,1,True,2021-09-25T14:00:00Z,1,1,6,90,0,0,0,1,0,0,0,1,0,0,0,8,14.0,0.6,1.0,1.6,45,324,11752,1814,1490
387,65,10,2,False,2021-10-02T14:00:00Z,1,0,7,90,0,0,0,1,0,0,0,0,0,0,0,12,34.8,10.4,2.0,4.7,45,799,12882,2696,1897
387,80,11,0,True,2021-10-16T11:30:00Z,0,5,8,90,0,0,0,5,0,0,0,0,0,0,0,10,22.2,0.4,0.0,2.3,45,-1518,11597,987,2505
387,86,8,0,False,2021-10-23T14:00:00Z,2,5,9,90,0,0,0,2,0,0,0,1,0,0,0,10,23.8,0.2,0.0,2.4,45,-47,11811,1382,1429
387,99,16,2,True,2021-10-30T14:00:00Z,0,1,10,90,0,0,0,1,0,0,0,0,0,0,0,13,14.0,0.2,0.0,1.4,45,-1138,10945,812,1950
