player_name,position_x,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists_x,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id_x,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,date,id_y,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
Adam Lallana,MID,Brighton,53,2,Burnley,1,False,2021-08-14,1,2,1,45,0,0,0,0,0,0,0,0,0,0,0,7,1.6,3.0,2.0,0.7,55,0,17460,0,0,1,Brighton,2,Burnley,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,41,Sub,Burnley,Brighton,1,2,2021-08-14,16378,2021,475470,0.0,0,0,0,0.0,0.7037997245788574,0.7037997245788574
Adam Webster,DEF,Brighton,61,2,Burnley,2,False,2021-08-14,1,2,1,90,0,0,0,1,0,0,0,0,0,0,0,11,23.6,2.8,0.0,2.6,45,0,38441,0,0,1,Brighton,2,Burnley,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,90,DR,Burnley,Brighton,1,2,2021-08-14,16378,2021,475458,0.0,0,0,0,0.0,0.3872222900390625,0.3872222900390625
Alexis Mac Allister,MID,Brighton,74,2,Burnley,9,False,2021-08-14,1,2,1,14,1,0,0,0,0,0,0,0,0,0,3,28,38.2,0.4,17.0,5.6,55,0,3931,0,0,1,Brighton,2,Burnley,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,1,1,0.33932000398635864,11,Sub,Burnley,Brighton,1,2,2021-08-14,16378,2021,475468,0.0,0,0,1,0.33932000398635864,0.6274755001068115,0.2881555259227753
Enock Mwepu,MID,Brighton,462,2,Burnley,1,False,2021-08-14,1,2,1,45,0,0,0,1,0,0,0,0,0,0,0,5,2.2,12.1,4.0,1.8,60,0,9904,0,0,1,Brighton,2,Burnley,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,49,MC,Burnley,Brighton,1,2,2021-08-14,16378,2021,475465,0.05208665505051613,0,1,0,0.0,0.05208665505051613,0.0
Jakub Moder,MID,Brighton,75,2,Burnley,4,False,2021-08-14,1,2,1,18,0,1,0,0,0,0,0,0,0,0,0,13,21.2,10.8,19.0,5.1,45,0,8712,0,0,1,Brighton,2,Burnley,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,1,0.2881555259227753,15,Sub,Burnley,Brighton,1,2,2021-08-14,16378,2021,475469,0.6447369456291199,1,1,0,0.2881555259227753,1.2722125053405762,0.33932000398635864
Leandro Trossard,MID,Brighton,64,2,Burnley,2,False,2021-08-14,1,2,1,75,0,0,0,1,0,0,0,0,0,0,0,4,2.2,1.9,8.0,1.2,65,0,88156,0,0,1,Brighton,2,Burnley,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,1,0.07632418721914291,79,ML,Burnley,Brighton,1,2,2021-08-14,16378,2021,475466,0.0,0,0,0,0.07632418721914291,0.07632418721914291,0.0
Lewis Dunk,DEF,Brighton,59,2,Burnley,2,False,2021-08-14,1,2,1,90,0,0,0,1,0,0,0,0,0,0,0,14,19.6,0.7,0.0,2.0,50,0,437885,0,0,1,Brighton,2,Burnley,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,90,DC,Burnley,Brighton,1,2,2021-08-14,16378,2021,475460,0.0,0,0,0,0.0,0.7037997245788574,0.7037997245788574
Neal Maupay,FWD,Brighton,63,2,Burnley,5,False,2021-08-14,1,2,1,90,1,0,0,1,0,0,0,1,0,0,0,20,34.0,6.5,74.0,11.5,65,0,160421,0,0,1,Brighton,2,Burnley,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,1,4,0.8151915669441223,90,FW,Burnley,Brighton,1,2,2021-08-14,16378,2021,475467,0.0,0,0,1,0.8151915669441223,1.154511570930481,0.33932000398635864
Pascal Groß,MID,Brighton,55,2,Burnley,6,False,2021-08-14,1,2,1,90,0,1,0,1,0,0,0,0,0,0,1,24,26.4,35.3,14.0,7.6,60,0,34936,0,0,1,Brighton,2,Burnley,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,2,0.05421088635921478,90,DL,Burnley,Brighton,1,2,2021-08-14,16378,2021,475461,0.3534135818481445,1,2,0,0.05421088635921478,0.4978481829166413,0.4861099123954773
Robert Sánchez,GK,Brighton,69,2,Burnley,2,False,2021-08-14,1,2,1,90,0,0,0,1,0,0,0,0,0,2,0,19,20.0,10.0,0.0,3.0,45,0,1701303,0,0,1,Brighton,2,Burnley,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,90,GK,Burnley,Brighton,1,2,2021-08-14,16378,2021,475457,0.2881555259227753,0,1,0,0.0,1.0092166662216189,0.721061110496521
Shane Duffy,DEF,Brighton,56,2,Burnley,2,False,2021-08-14,1,2,1,90,0,0,0,1,0,0,0,0,0,0,0,22,34.8,0.2,57.0,9.2,40,0,226602,0,0,1,Brighton,2,Burnley,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,4,0.06374003738164903,90,DC,Burnley,Brighton,1,2,2021-08-14,16378,2021,475459,0.0,0,0,0,0.06374003738164903,0.7037997245788574,0.7037997245788574
Steven Alzate,MID,Brighton,73,2,Burnley,2,False,2021-08-14,1,2,1,71,0,0,0,1,0,0,0,0,0,0,0,12,10.4,24.1,2.0,3.7,50,0,3347,0,0,1,Brighton,2,Burnley,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,75,DMC,Burnley,Brighton,1,2,2021-08-14,16378,2021,475462,0.14678990840911865,0,2,0,0.0,0.14678990840911865,0.14678990840911865
Yves Bissouma,MID,Brighton,70,2,Burnley,2,False,2021-08-14,1,2,1,90,0,0,0,1,0,0,0,0,0,0,0,14,7.6,5.2,0.0,1.3,45,0,882586,0,0,1,Brighton,2,Burnley,3,4,Brighton,BHA,3,1190,1160,1130,1090,1180,1140,0,0,0.0,90,MC,Burnley,Brighton,1,2,2021-08-14,16378,2021,475464,0.0,0,0,0,0.0,1.0603811740875244,1.0603811740875244
