,player_name,GW,kickoff_time,season,LR,CBoost,SVR,KNN,MLP,Meta,value,position,team,total_points,starter,captain,sub,base_points,wildcard,triple_captain,bench_boost,actual_points
0,Kyle Bartley,1,2020-09-13,2020,2.5177704200145627,2.298876981676322,2.2776245675786657,9.8,2.2806755911948726,2.926240306062536,45.0,DEF,West Brom,1,1.0,1.0,0.0,64,0,0,0,56
1,Mohamed Salah,1,2020-09-12,2020,6.5813429506784935,10.708429443430973,6.68632373974842,5.4,6.6008383071956755,2.8469535679414646,120.0,MID,Liverpool,20,1.0,0.0,0.0,64,0,0,0,56
2,Pierre-Emerick Aubameyang,1,2020-09-12,2020,5.357647605895641,5.681057522821272,6.888608109963727,4.9,6.418827294114529,2.8817269255613422,120.0,MID,Arsenal,7,1.0,0.0,0.0,64,0,0,0,56
3,John Lundstram,1,2020-09-14,2020,1.1083132253744905,3.9261519965801335,4.8561823055265165,4.8,2.2118692619856173,2.891993327033844,55.0,MID,Sheffield Utd,2,1.0,0.0,0.0,64,0,0,0,56
4,Mason Mount,1,2020-09-14,2020,1.9161512070620612,5.954032429767843,5.102253471021227,4.8,3.1441010938338083,2.896957341550681,70.0,MID,Chelsea,2,1.0,0.0,0.0,64,0,0,0,56
5,Vicente Guaita,1,2020-09-12,2020,1.623982208888986,4.085662099381978,3.618884188895416,3.3,3.3910403604232715,2.9239478316074874,50.0,GK,Crystal Palace,10,1.0,0.0,0.0,64,0,0,0,56
6,Che Adams,1,2020-09-12,2020,2.8278098888613363,4.5496061692541225,8.026509452794468,4.8,4.0475872137186455,2.9458032481197067,60.0,FWD,Southampton,2,1.0,0.0,0.0,64,0,0,0,56
7,Danny Ings,1,2020-09-12,2020,4.159016096474067,5.6692373801118405,5.186116984797033,5.4,5.134445582999925,3.011716803975851,85.0,FWD,Southampton,2,1.0,0.0,0.0,64,0,0,0,56
8,Harry Kane,1,2020-09-13,2020,4.1466462801856965,6.735772035963227,3.821541563890576,5.6,5.368083749999721,2.8272180319272566,105.0,FWD,Spurs,2,1.0,0.0,0.0,64,0,0,0,56
9,Kieran Tierney,1,2020-09-12,2020,3.8541438407524438,4.40637897108088,5.025624844638978,4.5,3.5193509798465703,2.9207967299854465,55.0,DEF,Arsenal,6,1.0,0.0,0.0,64,0,0,0,56
10,Dara O'Shea,1,2020-09-13,2020,2.520464427403477,2.298876981676322,2.285829247897156,6.6,2.282366059212754,2.926240306062536,45.0,DEF,West Brom,1,1.0,0.0,0.0,64,0,0,0,56
11,Jordan Henderson,1,2020-09-12,2020,3.540889717766197,5.2295605115467,4.219235209749529,3.7,4.013067176702382,2.8570204626655578,55.0,MID,Liverpool,2,0.0,0.0,1.0,0,0,0,0,56
12,Mathew Ryan,1,2020-09-14,2020,1.063789130449276,3.519397999775697,3.90400960559122,3.1,3.3174556856303785,2.8973349515032307,45.0,GK,Brighton,1,0.0,0.0,1.0,0,0,0,0,56
13,Joel Ward,1,2020-09-12,2020,1.9965209061873816,3.589927431618802,3.351991907238899,3.6,3.0313336826882487,2.9627893888271646,45.0,DEF,Crystal Palace,6,0.0,0.0,1.0,0,0,0,0,56
14,Ryan Fredericks,1,2020-09-12,2020,2.8263363903400505,2.4340520214985544,3.3236451472071544,3.6,3.33082766031304,2.9381790615387504,45.0,DEF,West Ham,0,0.0,0.0,1.0,0,0,0,0,56
0,Pierre-Emerick Aubameyang,2,2020-09-19,2020,7.134883873557327,6.2417547834510705,4.92648413094453,5.1,6.5804471972219405,3.3934915669894266,120.0,MID,Arsenal,5,1.0,1.0,0.0,61,0,0,0,59
1,Mohamed Salah,2,2020-09-20,2020,7.356717945232713,4.8937950658630465,4.449946632540766,5.0,6.869247063840053,3.5675362116211597,120.0,MID,Liverpool,3,1.0,0.0,0.0,61,0,0,0,59
2,Mason Mount,2,2020-09-20,2020,3.232013166837924,2.8756139043120417,4.088777511659393,3.4,3.4494098634054016,3.0678408888586555,70.0,MID,Chelsea,2,1.0,0.0,0.0,61,0,0,0,59
3,John Lundstram,2,2020-09-21,2020,2.7179384106197237,4.402848524649295,4.739245186740051,4.3,2.128474575397138,3.185235659109752,55.0,MID,Sheffield Utd,-1,1.0,0.0,0.0,61,0,0,0,59
4,Vicente Guaita,2,2020-09-19,2020,2.380803731690171,2.3896783554069647,2.486925092855663,3.4,2.5061856316974094,3.0246658825348933,50.0,GK,Crystal Palace,3,1.0,0.0,0.0,61,0,0,0,59
5,Harry Kane,2,2020-09-20,2020,4.773511278906466,5.471347691487,4.322812236242609,5.0,4.97191802573551,2.938424664425177,105.0,FWD,Spurs,21,1.0,0.0,0.0,61,0,0,0,59
6,Danny Ings,2,2020-09-20,2020,5.561463425693249,4.71474933317868,3.994891755750564,5.0,5.026414836784237,2.843909591642149,85.0,FWD,Southampton,11,1.0,0.0,0.0,61,0,0,0,59
7,Che Adams,2,2020-09-20,2020,3.4248575023341936,3.18264324025524,3.7849725070463123,4.2,2.9356117083268223,2.9754727453997747,60.0,FWD,Southampton,1,1.0,0.0,0.0,61,0,0,0,59
8,Matt Targett,2,2020-09-21,2020,3.3525463106647937,3.1942720350492477,3.4884291966085015,3.9,3.019432852416652,3.1717019961776662,45.0,DEF,Aston Villa,5,1.0,0.0,0.0,61,0,0,0,59
9,Ryan Fredericks,2,2020-09-19,2020,2.870396477855126,2.9279773203770416,3.4373105296762745,2.9,2.279534648666181,3.0637667195510914,45.0,DEF,West Ham,3,1.0,0.0,0.0,61,0,0,0,59
10,Joel Ward,2,2020-09-19,2020,2.064770342813424,1.8975887543241887,2.454160290786749,2.2,2.4486074171392778,2.9145961822151536,45.0,DEF,Crystal Palace,1,1.0,0.0,0.0,61,0,0,0,59
11,Jordan Henderson,2,2020-09-20,2020,2.7733124571542533,3.2096392845227384,2.7356808854532604,2.7,2.6690334083302223,2.9377333248964335,55.0,MID,Liverpool,1,0.0,0.0,1.0,0,0,0,0,59
12,Mathew Ryan,2,2020-09-20,2020,2.835250179539873,4.024454078653971,3.6727195536609,3.1,3.580083039579925,3.1821808088324577,45.0,GK,Brighton,6,0.0,0.0,1.0,0,0,0,0,59
13,Dara O'Shea,2,2020-09-19,2020,2.532537580280336,2.8817292588057013,2.0707977310397774,2.0,1.8663736031677447,2.8686259623171573,45.0,DEF,West Brom,0,0.0,0.0,1.0,0,0,0,0,59
14,Kyle Bartley,2,2020-09-19,2020,2.504869794005673,2.847980367597457,2.0615811934208628,2.1,1.8184247188150529,2.8976268798855935,45.0,DEF,West Brom,0,0.0,0.0,1.0,0,0,0,0,59
0,Bruno Miguel Borges Fernandes,3,2020-09-26,2020,5.529992502194767,5.328218111658123,5.5485630037320846,6.2,4.621741728767326,3.476076683997195,105.0,MID,Man Utd,12,1.0,1.0,0.0,64,0,0,0,67
1,Mason Mount,3,2020-09-26,2020,4.188758834161227,3.931644349652992,4.010295233494985,3.6,4.206531280754944,3.2724439059239607,69.0,MID,Chelsea,12,1.0,0.0,0.0,64,0,0,0,67
2,John Lundstram,3,2020-09-27,2020,4.068631188534004,3.5689196659999243,4.259399406568159,3.4,2.687752958789364,3.0559948561759818,54.0,MID,Sheffield Utd,2,1.0,0.0,0.0,64,0,0,0,67
3,Pierre-Emerick Aubameyang,3,2020-09-28,2020,5.1031470662756755,4.49209575619399,4.831209351144191,5.0,4.831866180400546,3.468196198622418,119.0,MID,Arsenal,2,1.0,0.0,0.0,64,0,0,0,67
4,Vicente Guaita,3,2020-09-26,2020,3.3446373007885613,3.2971511425781834,3.3577327641930736,3.6,3.0518655400086176,3.019331464076435,50.0,GK,Crystal Palace,2,1.0,0.0,0.0,64,0,0,0,67
5,Danny Ings,3,2020-09-26,2020,5.155651012465071,4.347028226436137,4.223283945306049,5.5,3.8480132827137696,3.6227670958930616,84.0,FWD,Southampton,9,1.0,0.0,0.0,64,0,0,0,67
6,Che Adams,3,2020-09-26,2020,3.404837299007704,3.1573510033677583,4.138512156425511,4.3,2.58793416757628,2.945257239016314,59.0,FWD,Southampton,5,1.0,0.0,0.0,64,0,0,0,67
7,Harry Kane,3,2020-09-27,2020,5.21460658969993,5.117173803406263,2.9093353316936312,5.2,4.0387717774471374,3.62983471104293,105.0,FWD,Spurs,5,1.0,0.0,0.0,64,0,0,0,67
8,Matt Targett,3,2020-09-28,2020,3.1741111420862937,3.1872239762003867,3.462143573200445,2.7,3.368698830242899,3.154923587669628,45.0,DEF,Aston Villa,5,1.0,0.0,0.0,64,0,0,0,67
9,Ryan Fredericks,3,2020-09-27,2020,3.0595008616069617,2.8196131720226423,3.0936496882003963,2.9,3.3084816799406958,3.0440866747548294,45.0,DEF,West Ham,1,1.0,0.0,0.0,64,0,0,0,67
10,Joel Ward,3,2020-09-26,2020,3.09997149049938,3.0310082988493288,3.078743739323088,3.5,3.0326953378014267,3.026771125500881,45.0,DEF,Crystal Palace,0,1.0,0.0,0.0,64,0,0,0,67
11,Jordan Henderson,3,2020-09-12,2020,3.0603150885986947,3.3752257911675083,3.067507546060024,0.0,2.8179865716666788,2.956182496874605,54.0,MID,Liverpool,0,0.0,0.0,1.0,0,0,0,0,67
12,Mathew Ryan,3,2020-09-26,2020,2.608101210451122,2.8483366417762337,3.392110424340323,2.8,3.2714533904215597,2.9007382353226223,45.0,GK,Brighton,1,0.0,0.0,1.0,0,0,0,0,67
13,Kyle Bartley,3,2020-09-26,2020,2.4134267761356307,2.5622464556430864,2.5006550464219437,2.3,2.4105076578806246,2.779886718896922,45.0,DEF,West Brom,7,0.0,0.0,1.0,0,0,0,0,67
14,Dara O'Shea,3,2020-09-26,2020,2.466411966811359,2.5622464556430864,2.4874123749208703,2.2,2.421707517703476,2.8493344757981682,45.0,DEF,West Brom,1,0.0,0.0,1.0,0,0,0,0,67
0,Pierre-Emerick Aubameyang,4,2020-10-04,2020,6.385462165769183,5.852966466692369,5.1111404922661485,6.4,6.71300362808741,3.803172624064993,119.0,MID,Arsenal,2,1.0,1.0,0.0,35,0,0,0,36
1,Bruno Miguel Borges Fernandes,4,2020-10-04,2020,5.572477999689399,5.754987217189665,4.902197849401481,5.3,6.188779212864271,3.6453664864198,105.0,MID,Man Utd,6,1.0,0.0,0.0,35,0,0,0,36
2,John Lundstram,4,2020-10-04,2020,2.680737122707431,3.1910694269861324,3.719295153693561,3.1,2.246271202406965,2.852129304472831,54.0,MID,Sheffield Utd,2,1.0,0.0,0.0,35,0,0,0,36
