,player_name,GW,kickoff_time,season,LR,CBoost,SVR,KNN,MLP,Meta,value,position,team,total_points,starter,captain,sub,base_points,wildcard,triple_captain,bench_boost,actual_points
0,Mohamed Salah,1,2020-09-12,2020,6.5813429506784935,10.708429443430973,6.68632373974842,5.429053411332544,6.6008383071956755,2.8469535679414646,120.0,MID,Liverpool,20,1.0,1.0,0.0,97,0,0,0,100
1,Kai Havertz,1,2020-09-14,2020,4.176750107362609,5.096518331470211,4.658641091675394,4.2602364861604585,3.9788738832758304,2.8885954917645416,85.0,MID,Chelsea,2,1.0,0.0,0.0,97,0,0,0,100
2,Sadio Mané,1,2020-09-12,2020,6.332731429378812,7.8634018065145215,4.723514122749269,4.70546994466091,6.8046707743956425,2.7349391834864214,120.0,MID,Liverpool,2,1.0,0.0,0.0,97,0,0,0,100
3,Karl Darlow,1,2020-09-12,2020,3.5341304906371422,3.081274096619281,3.198900118525392,2.5208305588074778,3.008220724032828,2.9919000103602684,50.0,GK,Newcastle,7,1.0,0.0,0.0,97,0,0,0,100
4,Timo Werner,1,2020-09-14,2020,5.466878064375788,5.61524317046365,6.354639790788643,4.326328801567536,4.735966863092068,2.8778324682672816,95.0,FWD,Chelsea,5,1.0,0.0,0.0,97,0,0,0,100
5,Andy Carroll,1,2020-09-12,2020,3.472570429230652,2.671569697930875,3.3303279323224837,1.7649688405246793,2.7834912331934167,2.9539606370132887,55.0,FWD,Newcastle,2,1.0,0.0,0.0,97,0,0,0,100
6,Roberto Firmino,1,2020-09-12,2020,5.289989021752648,6.34361422068158,3.7839973230657744,3.409025882739045,4.858640638467589,2.9425062585459747,95.0,FWD,Liverpool,1,1.0,0.0,0.0,97,0,0,0,100
7,Gabriel Magalhães,1,2020-09-12,2020,3.56014757683098,3.1193581332698965,3.06298038538606,3.2683803398506988,2.974749154096,2.971822969605632,50.0,DEF,Arsenal,15,1.0,0.0,0.0,97,0,0,0,100
8,Timothy Castagne,1,2020-09-13,2020,3.793990475080317,3.6840740602946553,3.424929132024092,3.463744779864337,3.5993512887619,2.9424072179593237,55.0,DEF,Leicester,14,1.0,0.0,0.0,97,0,0,0,100
9,Kieran Tierney,1,2020-09-12,2020,3.8541438407524438,4.40637897108088,5.025624844638978,4.453015439900959,3.5193509798465703,2.9207967299854465,55.0,DEF,Arsenal,6,1.0,0.0,0.0,97,0,0,0,100
10,Tyrick Mitchell,1,2020-09-12,2020,3.5245527294001717,3.384740109995388,3.748447799511518,3.2185715576762517,2.867233135220234,2.893393412252001,40.0,DEF,Crystal Palace,6,1.0,0.0,0.0,97,0,0,0,100
11,Mohamed Naser El Sayed Elneny,1,2020-09-12,2020,3.0287374992045435,2.953020380878455,2.998527198914845,2.7152005547280003,2.6208861701665414,2.9573897430507183,45.0,MID,Arsenal,3,0.0,0.0,1.0,0,0,0,0,100
12,Nampalys Mendy,1,2020-09-13,2020,2.7129115217591413,2.7360781386691584,2.9032673746078097,2.1830523181925257,2.647547878556491,2.9202265734328723,45.0,MID,Leicester,3,0.0,0.0,1.0,0,0,0,0,100
13,Sam Johnstone,1,2020-09-13,2020,2.753141760704251,2.8958105033246087,2.6332518562234286,2.067367467874181,2.922602524011352,2.9386225930362784,45.0,GK,West Brom,2,0.0,0.0,1.0,0,0,0,0,100
14,James Justin,1,2020-09-13,2020,3.2084658612433983,3.646774515968952,3.749325035391508,3.2344502451467187,2.8217379534900098,3.0000535006556435,45.0,DEF,Leicester,9,0.0,0.0,1.0,0,0,0,0,100
0,Mohamed Salah,2,2020-09-20,2020,7.356717945232713,4.8937950658630465,4.449946632540766,4.9743611609487415,6.869247063840053,3.5675362116211597,120.0,MID,Liverpool,3,1.0,1.0,0.0,56,0,0,0,53
1,Sadio Mané,2,2020-09-20,2020,6.236275388821196,6.6913796182410135,4.897871425404784,5.033651442344383,5.496944704732174,3.3129428155367138,119.0,MID,Liverpool,16,1.0,0.0,0.0,56,0,0,0,53
2,Kai Havertz,2,2020-09-20,2020,3.8915049362071317,3.3994193989798687,3.9234010143045936,3.0934705606258857,4.514697403710764,3.1072252934873483,85.0,MID,Chelsea,1,1.0,0.0,0.0,56,0,0,0,53
3,Karl Darlow,2,2020-09-20,2020,3.6886821478782457,3.5169841274197795,2.795314335360924,3.3012613956429,2.9835071484808964,2.891159041896993,50.0,GK,Newcastle,2,1.0,0.0,0.0,56,0,0,0,53
4,Roberto Firmino,2,2020-09-20,2020,5.270327829035238,5.046040294150504,3.9728570291733303,3.419005036985581,4.551012514484195,3.3904674536325667,94.0,FWD,Liverpool,5,1.0,0.0,0.0,56,0,0,0,53
5,Timo Werner,2,2020-09-20,2020,5.183149918990453,5.230183177594501,5.387202068489231,4.617448508866098,6.199856917992031,3.2002968611787037,95.0,FWD,Chelsea,2,1.0,0.0,0.0,56,0,0,0,53
6,Andy Carroll,2,2020-09-20,2020,4.43896316463071,3.7131279241410806,3.8130731779934814,2.604971328473136,3.581710119526993,2.744392357717274,55.0,FWD,Newcastle,1,1.0,0.0,0.0,56,0,0,0,53
7,Timothy Castagne,2,2020-09-20,2020,3.5241731065608417,3.4023321827963167,2.7931837404339253,3.872885689397101,3.3184856013763233,2.749013250907775,55.0,DEF,Leicester,9,1.0,0.0,0.0,56,0,0,0,53
8,James Justin,2,2020-09-20,2020,3.354447292596315,3.391465397208289,3.151074800536266,3.031495812266109,2.8332842122025164,2.9107780840178434,46.0,DEF,Leicester,7,1.0,0.0,0.0,56,0,0,0,53
9,Gabriel Magalhães,2,2020-09-19,2020,3.541792992053481,3.654120650418163,2.745396539331078,3.0572158426923965,2.9429310637390027,2.8364497131269992,50.0,DEF,Arsenal,2,1.0,0.0,0.0,56,0,0,0,53
10,Héctor Bellerín,2,2020-09-19,2020,3.850169028924119,3.615546035089613,3.21193452997056,3.237924773485824,3.3735086642853025,3.480256774182428,50.0,DEF,Arsenal,2,1.0,0.0,0.0,56,0,0,0,53
11,Nampalys Mendy,2,2020-09-20,2020,2.8378289606594995,2.8841272496790484,2.8038986725508503,2.5827934894803595,2.47995096159263,3.0741268791133463,45.0,MID,Leicester,1,0.0,0.0,1.0,0,0,0,0,53
12,Mohamed Naser El Sayed Elneny,2,2020-09-12,2020,0.0,2.5440279088678706,2.3386418042907247,2.3069926544956334,2.309097714966045,2.6423739512749744,44.0,MID,Arsenal,0,0.0,0.0,1.0,0,0,0,0,53
13,Sam Johnstone,2,2020-09-19,2020,2.9159919464735817,3.4018630774713823,2.560459637212322,2.4203208551074313,2.2954261016884674,2.7177228331614987,45.0,GK,West Brom,0,0.0,0.0,1.0,0,0,0,0,53
14,Tyrick Mitchell,2,2020-09-19,2020,2.3681015930703087,1.7021436891807389,2.8775413320667784,2.3240813174436297,2.34956205457342,2.90023310025696,40.0,DEF,Crystal Palace,5,0.0,0.0,1.0,0,0,0,0,53
0,Mohamed Salah,3,2020-09-28,2020,7.730368918407247,4.958771864959517,5.757800925039322,4.8097826947125455,6.0039592078592605,3.5323904143383693,121.0,MID,Liverpool,5,1.0,1.0,0.0,47,0,0,0,37
1,Sadio Mané,3,2020-09-28,2020,6.3683518268892145,4.9171627223147025,4.772335358018724,5.436820371105868,5.370879950099615,3.4596663018719407,119.0,MID,Liverpool,7,1.0,0.0,0.0,47,0,0,0,37
2,Kai Havertz,3,2020-09-26,2020,4.5688492247889485,4.9787998616349975,4.163805620450715,3.840804555833476,4.326050063357896,3.081807424275804,84.0,MID,Chelsea,5,1.0,0.0,0.0,47,0,0,0,37
3,Sam Johnstone,3,2020-09-26,2020,2.759089907123356,2.806631125086854,3.1643979813356222,2.88924712706298,2.8189759119085167,2.8758221178171275,45.0,GK,West Brom,3,1.0,0.0,0.0,47,0,0,0,37
4,David McGoldrick,3,2020-09-27,2020,4.522779138859458,3.407765429131065,3.4698126654845916,2.650940020913624,3.503285620509888,3.2426422639113928,54.0,FWD,Sheffield Utd,2,1.0,0.0,0.0,47,0,0,0,37
5,Roberto Firmino,3,2020-09-28,2020,5.765543941681753,4.762175818290939,4.0131790083795895,3.5843562148175985,4.568345085639758,3.1172360052047865,94.0,FWD,Liverpool,2,1.0,0.0,0.0,47,0,0,0,37
6,Timo Werner,3,2020-09-26,2020,6.066946825552227,5.296140704018807,5.124513993738684,4.792410985161791,5.3178896944819405,3.788259200559314,95.0,FWD,Chelsea,2,1.0,0.0,0.0,47,0,0,0,37
