,player_name,GW,kickoff_time,season,LR,CBoost,SVR,KNN,MLP,Meta,value,position,team,total_points,starter,captain,sub,base_points,wildcard,triple_captain,bench_boost,actual_points
0,Sadio Mané,1,2020-09-12,2020,6.332731429378812,7.8634018065145215,4.723514122749269,4.70546994466091,6.8,2.7349391834864214,120.0,MID,Liverpool,2,1.0,1.0,0.0,57,0,0,0,50
1,Wilfried Zaha,1,2020-09-12,2020,2.958821000742529,4.231454470978076,4.421266238398865,3.253131790876688,4.3,2.9335460110677065,70.0,MID,Crystal Palace,8,1.0,0.0,0.0,57,0,0,0,50
2,Pierre-Emerick Aubameyang,1,2020-09-12,2020,5.357647605895641,5.681057522821272,6.888608109963727,4.863625455906148,6.4,2.8817269255613422,120.0,MID,Arsenal,7,1.0,0.0,0.0,57,0,0,0,50
3,Ayoze Pérez,1,2020-09-13,2020,3.034371644029628,4.048613911340353,3.9317974058522873,3.511851906375835,4.0,2.962901925327475,65.0,MID,Leicester,3,1.0,0.0,0.0,57,0,0,0,50
4,Lukasz Fabianski,1,2020-09-12,2020,2.719435373291959,3.3631051628221837,3.4847578608890784,3.191515353744081,3.6,2.9884141938524014,50.0,GK,West Ham,1,1.0,0.0,0.0,57,0,0,0,50
5,Che Adams,1,2020-09-12,2020,2.8278098888613363,4.5496061692541225,8.026509452794468,4.817205777080459,4.0,2.9458032481197067,60.0,FWD,Southampton,2,1.0,0.0,0.0,57,0,0,0,50
6,Danny Ings,1,2020-09-12,2020,4.159016096474067,5.6692373801118405,5.186116984797033,5.444645666205317,5.1,3.011716803975851,85.0,FWD,Southampton,2,1.0,0.0,0.0,57,0,0,0,50
7,Oliver McBurnie,1,2020-09-14,2020,2.8274519274608427,3.6118657520507456,4.292592250376424,2.9858415942036727,3.6,2.8894654610933643,60.0,FWD,Sheffield Utd,1,1.0,0.0,0.0,57,0,0,0,50
8,Timothy Castagne,1,2020-09-13,2020,3.793990475080317,3.6840740602946553,3.424929132024092,3.463744779864337,3.6,2.9424072179593237,55.0,DEF,Leicester,14,1.0,0.0,0.0,57,0,0,0,50
9,Virgil van Dijk,1,2020-09-12,2020,4.6089704759328916,5.556259531539119,4.474655189905881,4.40068813767168,5.1,2.9045988964392944,65.0,DEF,Liverpool,7,1.0,0.0,0.0,57,0,0,0,50
10,Trent Alexander-Arnold,1,2020-09-12,2020,4.775319679248739,6.086434862129246,6.126535947239442,4.2981171805807366,5.1,2.844532049194372,75.0,DEF,Liverpool,1,1.0,0.0,0.0,57,0,0,0,50
11,Yves Bissouma,1,2020-09-14,2020,1.941967319525188,2.674540952093316,3.6369134093857065,3.1175824101385983,2.9,2.963550481485849,45.0,MID,Brighton,2,0.0,0.0,1.0,0,0,0,0,50
12,Mathew Ryan,1,2020-09-14,2020,1.063789130449276,3.519397999775697,3.90400960559122,3.1142231275775134,3.3,2.8973349515032307,45.0,GK,Brighton,1,0.0,0.0,1.0,0,0,0,0,50
13,Tyrick Mitchell,1,2020-09-12,2020,3.5245527294001717,3.384740109995388,3.748447799511518,3.2185715576762517,2.9,2.893393412252001,40.0,DEF,Crystal Palace,6,0.0,0.0,1.0,0,0,0,0,50
14,Ryan Fredericks,1,2020-09-12,2020,2.8263363903400505,2.4340520214985544,3.3236451472071544,3.5802976088048015,3.3,2.9381790615387504,45.0,DEF,West Ham,0,0.0,0.0,1.0,0,0,0,0,50
